Date,Close,High,Low,Open,Volume,LG,HD,PD,AT,CP,HP,ZP,EP,SQ,NI,IF,DR,XL,YU,AZ,AK,GR,CC,AG,KK,YP,XA,DH,OD,XC,TP,BQ,DU,QA,YB,FZ,RO,AO,MG,YJ
2026-08-24,93.0,96.0,92.0,93.0,14325600,-0.0008,-0.0013,-0.0158,300.0,0.008,-0.0,-0.0028,0.0004,-0.0046,0.0038,0.0028,-0.0083,0.2741,0.0,0.0,0.0002,0.0022,-0.3115,0.0015,0.0244,0.0467,0.0059,-0.0059,-0.0012,-0.0044,-0.0046,0.0055,0.0,0.0011,-0.0029,-0.0094,-0.0019,0.0009,-0.0001,-0.0021
2026-08-26,90.0,94.0,90.0,93.0,7962500,-0.0007,-0.0004,-0.022,0.0,-0.0015,0.0,0.0,0.0,0.0071,-0.0067,0.0,0.0277,-0.0756,0.0,-0.0005,0.018,0.0027,0.0496,-0.0011,-0.0177,-0.0111,0.0005,0.0,0.0191,0.0063,0.0011,0.0019,0.0041,-0.0009,0.0,0.0,0.0,0.0,0.0,0.0
2026-08-27,91.0,92.0,88.0,88.0,4911900,0.0,0.0015,0.0112,0.0002,-0.0046,0.0,0.0,0.0001,0.0011,0.0222,0.0,0.0,-0.0875,0.0,-0.0005,0.0358,0.0054,0.0267,0.0001,-0.0024,-0.0015,-0.0,0.0,-0.0183,-0.0088,0.0003,0.0,0.0011,-0.0001,0.0182,0.0,0.0,0.0,0.0,0.0
2026-08-28,90.0,93.0,90.0,91.0,3570500,0.009,-0.0007,-0.0747,-0.0009,-0.0,-0.0091,0.0009,0.0001,-0.0027,-0.0063,0.0,-0.0002,-0.0129,-0.009,-0.0004,-0.0077,0.0092,0.0413,0.0002,-0.0036,0.0061,0.0,0.0046,-0.0053,0.0616,0.0004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
