Date,Close,High,Low,Open,Volume,YB,MG,AT,XL,HD,KK,DH,NI,XA,YP,SQ,PC,CP,CC,AG,BQ,PD,XC,OD,RO,ZP,DR,LG,FZ,CD,GR,BS,LS,YJ,PO,QA,AZ,EP,AI,SA
2026-08-24,230.0,234.0,224.0,230.0,3658200,0.009,0.0002,-0.0,-0.203,0.0001,0.0102,0.0,-0.0001,-0.0836,-0.0738,0.0,0.018,-0.0,-0.0082,-0.0463,0.0288,0.0863,0.0927,-0.0168,0.0001,0.0,-0.0023,0.0,0.0,0.0,0.0232,0.0,0.0,0.0,0.0006,0.0017,0.0016,0.1967,-0.0123,-0.0229
2026-08-26,210.0,230.0,206.0,230.0,5951000,-0.08,-0.0208,-0.0002,-0.2433,0.0015,0.051,-0.0545,0.0003,-0.078,-0.0239,-0.0,0.078,-0.0001,-0.0656,0.222,0.0291,0.0082,-0.02,0.1796,0.0,-0.0023,-0.0045,-0.0451,0.0,0.0,0.0356,0.0452,-0.0018,0.0002,-0.0006,0.0,0.0012,-0.0112,0.0,0.0
2026-08-27,220.0,228.0,186.0,208.0,3384300,0.0141,0.0,0.0,-0.0777,-0.0016,0.006,0.0,-0.0023,0.1048,-0.0384,0.0006,0.0,-0.0118,0.0528,0.0725,0.0037,-0.0315,-0.0352,-0.0167,-0.0002,0.0,-0.0001,-0.0017,-0.0001,-0.0432,0.006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-08-28,222.0,224.0,214.0,220.0,820900,-0.0022,0.001,0.0002,-0.0222,-0.0,-0.0071,-0.001,0.0006,-0.004,-0.0125,-0.0006,0.0087,0.0048,-0.0088,0.044,-0.0004,0.0005,-0.0057,0.0025,0.0,0.0022,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
