Date,Close,High,Low,Open,Volume,PC,AG,HP,QA,GR,YP,BR,LG,OD,CP,XA,PD,DH,BK,AK,NI,CC,RO,FS,ES,EP,FZ,HD,ZP,SQ,KI,AI,YU,AT,TP,KK,XL,TF,CD,YB,BQ,XC,YJ,AO,DR,MG,LS,JB,AZ,DX,IF,RS,IU,DU
2026-08-24,336.0,344.0,330.0,344.0,32806200,0.0,0.0008,0.0125,0.001,0.003,-0.1889,0.0,0.0018,0.1266,0.2934,-0.0085,0.4415,0.0069,0.1412,0.0125,0.1754,-1.5,0.007,-0.0023,0.0,1.8,0.0,-0.0058,-0.8567,0.2337,-0.0204,0.0022,0.0096,-0.0117,0.0032,0.1181,-0.6688,-0.0,0.0,0.0198,-0.0147,0.038,0.0066,0.001,-0.022,0.0007,0.0,0.0002,-0.001,-0.0,0.0,0.0,-0.0003,-0.1481
2026-08-26,326.0,338.0,320.0,336.0,42645600,0.0,0.008,0.0008,-200.0,0.2053,-0.0247,0.0,0.0013,0.168,-0.0216,0.0074,0.2699,-0.0,0.154,0.0496,0.0382,-1.6,0.0659,-0.0009,0.0,1.7,-0.0013,0.0604,-0.4143,0.0715,0.0036,0.0017,0.0016,0.1972,-0.0026,0.0146,-0.0624,0.0,0.0,-0.0336,-0.0321,-0.0559,-0.0013,0.0,-0.7839,-0.0005,0.0,0.008,-0.0008,0.0004,0.0,0.0065,0.0,0.0
2026-08-27,320.0,328.0,312.0,324.0,32739100,0.0,0.0008,-0.052,0.0005,0.058,-0.4407,0.0,-0.0053,0.1178,0.4419,0.0179,-0.0239,-0.0117,-0.0691,0.192,0.0273,-0.5534,0.003,0.0,0.0,0.5164,0.2029,-0.0072,-0.4117,0.0206,0.0053,-0.0001,-0.3155,-0.0505,0.0633,0.1149,-0.4515,-0.0,0.0,0.0227,0.065,0.0296,0.0002,-0.0012,0.5044,-0.0002,-0.0001,-0.0081,-0.0043,0.0019,-0.0001,0.0,0.0,0.0
2026-08-28,316.0,324.0,308.0,318.0,39919300,0.0183,-0.0056,0.0627,0.0005,0.0302,0.0782,-0.0266,-0.0026,0.0701,-0.0623,-0.0002,0.3477,0.0007,-0.142,-0.039,0.3215,-1.2,0.0361,0.0003,0.008,1.9,0.0011,0.0043,-0.4927,0.1359,0.1137,0.0155,-0.8427,0.0175,-0.0305,0.0787,0.0825,-0.0016,-0.2453,-0.067,0.0193,0.2331,0.0003,0.0067,-0.4653,-0.0017,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
