Date,Close,High,Low,Open,Volume,CP,FZ,RO,ZP,NI,SQ,QA,IF,XL,YB,DP,AZ,KI,IH,YP,DH,OD,XC,LS,LG,HD,PD,HP,SH,EP,AO,DR,IT,BK,ES,AK,GR,CC,KK,JB,BB,PG,KZ,TP,AT,DX,AI,BQ,SS,RB,MG,YU,YJ,TF,AG,RF,XA,CD,IN
2026-08-24,1940.0,1975.0,1920.0,1960.0,15697500,-0.0518,0.0,0.0741,-1.1,-0.1534,-0.8803,0.0008,-0.8269,-1.4,-0.0238,0.0,0.1159,-0.2658,0.0,-0.2792,-0.2454,-0.3273,-0.7384,0.0008,0.913,-0.0289,-0.0183,-0.0099,0.0,-0.3024,0.0,0.0136,0.0,1.6,0.0049,-11.0,-0.3311,13.1,0.0121,0.0,-0.0122,0.0,0.0,-1.2,-0.0907,0.0295,0.0,-0.4043,0.0,0.0,-0.0173,3.4,-0.0485,0.0,0.0196,0.0,-0.0373,0.0748,0.4913
2026-08-26,1950.0,1995.0,1950.0,1950.0,17777100,-0.9598,0.0,-0.0547,4.8,-1.9,0.0395,0.0,0.0,-3.2,-0.0159,0.0,-0.387,-0.0202,0.0,-0.9239,0.0027,-0.2357,-0.0422,0.0,1.2,0.0147,-5.8,0.0,-0.0375,-0.0262,0.0,0.1273,0.0,1.9,-0.098,-1.6,-0.0463,12.0,-1.7,0.0,-0.9632,0.0,0.0536,-0.2364,-0.0177,-0.0535,0.0,0.8157,0.0,0.0,-0.0199,-0.185,0.0,0.0016,0.0002,-2.3,-0.1006,0.0,0.0
2026-08-27,2050.0,2050.0,1955.0,1965.0,21821500,-0.4802,0.0,0.0,8.6,-0.6554,-2.5,0.0,-0.2468,-5.7,0.0,0.0,-0.0361,-0.4252,0.002,-0.436,-0.1878,-2.2,-0.345,0.0,-2.8,0.2755,-0.3654,-0.0837,-0.1862,0.0316,0.0,-0.172,0.0,0.9358,0.0,9.8,-0.0789,0.0205,-0.4621,0.0,0.0,0.0,0.0431,2.1,-1.0,-0.0982,-0.1871,0.0521,-0.213,-0.1116,-2.0,-0.8929,0.2916,0.0,0.0,0.0,0.0,0.0,0.0
2026-08-28,2030.0,2060.0,2020.0,2040.0,16930100,-0.0747,-0.204,-0.043,-2.3,-0.6348,0.5643,0.0022,-0.7877,-1.5,0.1129,0.3459,0.0184,-0.4754,-0.205,-3.0,-0.0665,-0.052,-0.0496,0.0018,-0.6546,-0.1588,-0.2096,-0.1045,-0.0237,-0.0649,-0.041,0.2458,0.102,2.1,-0.408,5.3,0.0246,3.9,-0.1241,0.0002,-0.5963,0.0102,-0.8488,-0.0191,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
