Date,Close,High,Low,Open,Volume,CP,KK,XL,XA,HP,ZP,SQ,PD,XC,DH,YP,NI,CC,LG,OD,MG,AZ,YU,OK,YB,IF,QA,EP,GR,RS,PI,DR,PF
2026-08-24,26.0,27.0,26.0,27.0,11910000,0.0003,0.0068,0.0224,0.0,0.0,-0.0001,-0.072,0.0043,-0.0005,0.0001,0.005,-0.1197,-0.0054,0.0,0.0082,0.0491,0.0,0.0338,0.0,-0.0013,0.0,0.0,0.078,0.0,0.0,0.0039,0.0,-0.013
2026-08-26,26.0,26.0,26.0,26.0,5365000,0.0,-0.0023,-0.0704,0.0,0.0,0.0,0.0236,-0.0106,-0.0013,0.0,-0.0157,-0.0005,-0.0063,0.0,0.0,0.0312,0.0,0.0242,0.0,-0.0013,0.0,0.0,0.052,0.0037,-0.0026,-0.0039,-0.0197,0.0
2026-08-27,26.0,26.0,26.0,26.0,6634000,0.0,0.0021,-0.0311,0.0,0.0,0.0,-0.0467,0.0037,-0.021,-0.0001,-0.0103,0.0008,0.0037,0.0,0.0,0.0254,0.0009,0.0538,0.0189,-0.0,0.0001,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-08-28,26.0,26.0,26.0,26.0,1774100,0.0013,-0.0002,-0.0246,0.0003,-0.0005,0.0,0.0051,0.0025,-0.0003,0.0003,0.007,0.0,0.0054,-0.0019,0.0026,0.0032,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
