Date,Close,High,Low,Open,Volume,HD,PD,CP,BR,DU,HP,SH,EP,PC,XL,ZR,YU,AG,KK,CC,YP,XA,IU,XC,SF,NI,SQ,AO,AK,DH
2026-08-24,715.0,720.0,710.0,720.0,230900,0.0003,0.0003,-0.0089,0.0579,-0.0248,-0.0286,0.0,-0.0284,0.085,-0.0011,0.0,0.0,-0.0003,0.0004,-0.0021,0.0,-0.0227,-0.045,-0.0001,0.015,0.0,0.0,0.0041,-0.0009,0.0001
2026-08-26,715.0,715.0,705.0,715.0,291000,-0.0004,0.0016,0.0213,-0.056,0.024,0.0206,-0.0087,0.0286,-0.0501,0.012,-0.0264,0.0,0.0232,0.001,-0.0125,0.0093,0.0021,0.0246,-0.0001,-0.0071,0.0,0.0,-0.0071,0.0,0.0
2026-08-27,710.0,715.0,705.0,710.0,252800,0.0004,-0.0038,0.0,0.0396,-0.0002,-0.0496,-0.0213,-0.0282,0.0716,-0.0129,0.0159,0.0001,0.0,0.0,500.0,0.0162,-0.0212,-0.0411,0.0,0.0227,0.0001,0.0001,0.0115,0.0,0.0
2026-08-28,715.0,715.0,710.0,710.0,273400,-0.0005,-0.0004,0.0088,-0.0107,0.0261,0.0307,-0.0816,0.0213,-0.0391,0.0037,-0.0142,0.0004,0.0343,0.0006,-0.0078,0.0001,0.0167,0.0087,0.0029,0.0,0.0,0.0,0.0,0.0,0.0
