Date,Close,High,Low,Open,Volume,FZ,RX,DR,MG,GR,HP,RO,SQ,OD,RS,YJ,KK,YU,LG,PD,AZ,EP,XA,CC,NI,IF,XL,ZP,KI,AK,BQ,DH,XC,AG,KZ,AI,FS,TP,YP,HD,CP,DX,BK,YO,AR,AT,LS,CD,EL,PC,ES,AF,YB,AO,PP,QA,BB
2026-08-24,1005.0,1075.0,1005.0,1065.0,17219500,0.0,0.0,0.1228,0.2147,0.2054,0.0,0.0181,0.3533,0.3819,-0.003,0.0305,0.1043,-0.0839,-0.0695,0.038,0.0817,0.2914,0.0,1.1,0.3736,1.2,2.1,-5.1,0.0333,1.3,0.0437,0.5211,0.5258,0.0,0.0,-0.0002,-0.0112,-0.1487,1.4,0.0,0.65,0.1131,0.6884,0.0,0.0,-0.0036,0.0,0.0,0.0,0.0,0.1015,0.0,0.0,0.0,0.0,-0.0286,-6.7
2026-08-26,980.0,1005.0,975.0,1005.0,17103100,1.1,-0.0001,-0.0149,-0.0467,0.2399,0.0313,0.0181,0.6641,1.3,0.0042,0.0,0.0307,-5.2,-0.0109,-0.5386,0.1672,0.0624,-0.0483,1.5,0.2473,0.3025,0.9899,-2.8,0.0436,0.7339,-0.0407,0.2721,0.3786,-0.0038,0.0,0.05,0.0064,-0.0103,0.3893,-0.0003,0.5641,0.1716,-0.5633,0.0,0.0,-0.0121,0.0,0.0,0.0,-0.006,0.0495,0.0,-0.0439,0.0049,-0.0174,-0.0003,0.0
2026-08-27,1000.0,1005.0,940.0,980.0,25254500,0.0,0.0,0.0401,-0.2107,1.2,0.0,0.0,0.087,0.0506,0.0,-0.0029,0.0628,-8.4,0.0349,0.0752,-0.0345,-0.2162,0.0808,2.2,0.191,0.0,1.7,-3.1,0.2977,1.4,0.0,0.3641,0.9637,0.0,-0.7963,0.8775,0.0,0.0507,0.2868,0.1074,1.5,0.0,0.7598,-0.0004,-0.0001,-0.0002,0.048,-0.0008,-0.0003,-0.0005,0.0471,0.0955,0.0807,0.0,0.0,0.0,0.0
2026-08-28,1000.0,1020.0,980.0,1005.0,19119800,0.0248,-0.275,0.0685,0.1529,0.0627,-0.0105,0.0336,0.6539,0.6684,-0.008,0.0503,0.5451,0.5196,0.207,0.7443,0.2428,0.1027,0.2223,-0.7343,0.3622,-0.0106,2.6,-0.2524,-0.07,-0.5306,0.1342,0.2694,1.2,0.0932,-8.1,0.015,-0.007,0.081,1.1,-0.0698,-0.3398,-0.0162,0.3027,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
