Date,Close,High,Low,Open,Volume,CC,YP,DR,XL,KK,CP,GR,XC,OD,SQ,PD,AK,EP,DH,NI,AZ,IF,XA,YU,YB
2026-08-24,1470.0,1475.0,1450.0,1470.0,46100,-0.0391,-0.005,0.0,0.0353,0.0,0.0021,0.0,0.0028,0.0074,0.0003,-0.0076,0.0035,0.0,0.0,-0.0001,0.0,0.0,0.0001,0.0003,0.0001
2026-08-26,1465.0,1485.0,1465.0,1470.0,57100,-0.0104,-0.011,0.0,0.0065,0.0,-0.0045,0.0,0.0146,0.0009,0.0,-0.0,0.004,0.0,0.0,0.0006,0.0015,-0.0015,-0.0006,0.0,0.0
2026-08-27,1470.0,1485.0,1465.0,1465.0,17200,-0.0019,0.0,0.0,0.0208,0.0,0.0015,0.0,0.0001,0.0007,-0.0218,0.0007,0.0,0.0,-0.0001,0.0,0.0,0.0,0.0,0.0,0.0
2026-08-28,1490.0,1495.0,1465.0,1470.0,50600,-0.0022,-0.0077,0.0004,0.0272,-0.0042,0.0045,0.0024,-0.0211,-0.0006,0.0022,-0.0024,0.0033,0.0024,-0.0042,0.0,0.0,0.0,0.0,0.0,0.0
