Date,Close,High,Low,Open,Volume,AK,TP,YB,MG,XL,AT,HD,LS,KK,DR,LG,FZ,NI,AI,XA,ZP,AZ,YP,CP,CC,EP,DX,BQ,PD,XC,OD,BK,SQ,DH,YU,QA,DU,GR,RO,IF,AG,CD
2026-08-24,114.0,119.0,111.0,114.0,12288500,-0.0051,0.0056,0.0001,-0.2645,0.2187,0.0,-0.0002,0.0,-0.0082,-0.0251,-0.0034,0.0113,0.0119,0.0,0.0069,-0.0343,-0.0,0.0383,0.0139,-0.0799,0.0001,0.0,-0.0028,0.146,-0.0301,-0.0078,-0.0,0.0002,0.0,-0.0,-0.0023,0.0,-0.0228,0.0,0.0,-0.0,0.0337
2026-08-26,111.0,115.0,111.0,114.0,7973300,0.0159,0.0,-0.0434,0.0135,-0.2285,0.0014,0.0,0.0,0.0066,0.0508,0.0,0.0067,0.0148,0.0,-0.0079,0.019,-0.0059,0.0131,0.0111,0.1542,-0.0011,0.0,-0.052,-0.0582,-0.0027,-0.0002,0.0,0.0012,0.0131,0.0784,0.0,0.0,0.0,0.0,0.0,0.0002,0.0
2026-08-27,112.0,112.0,108.0,110.0,5110400,0.0313,0.0111,0.0047,-0.0056,-0.0863,-0.0005,0.0007,0.0,0.0177,0.0,-0.0006,0.0111,-0.0032,0.0,0.0011,0.0,0.0,-0.0742,-0.0124,0.0936,0.001,0.0,0.0,0.0417,-0.0567,0.005,0.0016,-0.0008,0.0112,0.0055,-0.0007,-0.0,0.0033,0.0002,0.0,0.0,0.0
2026-08-28,111.0,115.0,110.0,112.0,3227900,-0.0007,0.0001,0.0,-0.0057,0.0405,-0.0011,-0.0002,0.0067,-0.0771,0.0023,0.0001,0.0112,0.0091,-0.0002,-0.0005,-0.0006,0.0,-0.0147,0.0046,0.0252,-0.0039,0.0,0.0,-0.0038,-0.0007,0.0001,-0.0016,0.011,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
