Date,Close,High,Low,Open,Volume,CC,NI,XC,GR,AZ,PC,PD,AO,YP,AT,XL,CP,OD,AI,KI,SQ,BQ,EP,MG,YB,DR,DH,HD,LG,KK,XA,IN,AG,RO
2026-08-24,426.0,428.0,408.0,424.0,548800,0.0153,-0.0228,0.0044,0.0,0.0,0.0028,0.0004,0.0022,0.0058,-0.0251,0.0026,0.0,0.0063,-0.0208,0.0041,-0.0149,-0.0172,0.0,-0.0165,0.0017,-0.0,0.0733,0.0,0.0,-0.0001,-0.0002,0.0,0.0009,-0.0021
2026-08-26,420.0,426.0,412.0,426.0,1337600,0.0836,0.0022,0.0079,0.0,0.0009,0.0,0.148,-0.0002,-0.2553,-0.0166,0.0875,0.0,-0.0011,-0.0568,0.0,-0.0003,0.0,0.0006,0.0,0.0024,0.0,-0.0052,-0.0,0.0001,-0.005,0.0073,-0.0001,0.0,0.0
2026-08-27,418.0,420.0,390.0,414.0,568000,0.0258,-0.0022,-0.0041,0.0029,0.0,0.0,0.0675,-0.0207,-0.039,0.0167,-0.0496,0.0,-0.0066,0.0065,0.0,-0.0014,0.0014,0.0,-0.0082,0.0006,-0.0001,0.0105,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-08-28,412.0,422.0,408.0,418.0,607000,-0.0451,-0.0035,-0.0102,0.0087,-0.001,-0.0029,0.0678,-0.0026,-0.0021,-0.0012,0.0348,0.0001,-0.0141,-0.0365,0.0165,-0.008,-0.0032,0.0025,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
