Date,Close,High,Low,Open,Volume,AI,LG,HD,PD,CP,AT,RO,HP,TF,NI,EP,SQ,DR,XL,YB,MG,DP,YU,KI,AZ,GR,AG,KK,CC,YJ,DX,YP,XA,DH,OD,XC,TP,BQ,ZP,PC,FS,AK
2026-08-24,170.0,171.0,168.0,170.0,1773900,0.0423,0.0003,0.0,-0.0136,0.0107,0.0018,0.0002,0.0,0.0,-0.0178,-0.0017,0.0171,0.0432,-0.0541,0.0096,0.0,0.0,0.0001,0.0009,0.0003,-0.0084,0.0,-0.0036,0.0107,0.0,0.0,-0.0074,0.0,-0.0002,-0.0155,0.0073,-0.017,-0.0026,0.0,0.0,0.0,-0.0029
2026-08-26,162.0,170.0,161.0,170.0,6069200,0.2916,-0.0037,0.001,0.0018,0.0298,-0.0012,-0.3178,0.0001,0.0,0.0068,0.0603,0.0161,-0.0043,-0.0976,-0.0008,0.0093,0.0,0.0,0.0,0.0266,0.008,0.0,0.022,-0.1462,0.0,0.0002,0.0147,0.0031,0.0336,0.0196,0.012,-0.0027,0.0165,0.0007,0.0,0.0007,0.0
2026-08-27,161.0,163.0,157.0,159.0,4635600,0.0,-0.1843,-0.001,0.008,-0.0295,0.0004,0.0001,-0.0001,0.0,0.0037,0.1721,-0.0174,-0.1949,0.0272,0.0164,-0.0,0.0,-0.0003,0.0008,0.0497,-0.0225,0.0001,0.0071,0.0702,0.0005,0.0,0.0002,0.0,0.0,0.0624,0.0348,-0.0032,-0.0002,0.0,0.0,0.0,0.0
2026-08-28,163.0,165.0,160.0,164.0,4715300,-0.037,0.0002,0.0002,0.0029,0.0003,0.0001,-0.4525,-0.0017,-0.0,0.012,0.002,-0.0023,0.0963,0.0333,-0.0033,-0.0008,0.3564,0.0006,0.0195,0.0017,0.0003,0.0036,0.0552,-0.0433,0.0001,-0.0049,-0.0574,0.0162,-0.0324,-0.005,0.0232,0.0164,0.0,0.0,0.0,0.0,0.0
