Date,Close,High,Low,Open,Volume,NI,YP,SQ,AT,MG,CP,XL,CC,EP,BQ,PD,OD,LG,XC,KK,GR,YU,RO
2026-08-24,510.0,515.0,500.0,510.0,213000,0.0004,-0.0001,0.0,0.0,0.0,-0.0254,-0.0181,0.0301,-0.0026,0.0161,0.0005,0.0001,0.0,-0.0004,-0.0008,0.0,0.0,0.0002
2026-08-26,510.0,515.0,500.0,505.0,226300,-0.0008,0.0,0.0025,0.0014,0.0033,0.015,0.0064,-0.0256,-0.0013,-0.0012,-0.0001,-0.0,0.0,-0.0001,0.0,0.0,0.0005,0.0
2026-08-27,510.0,515.0,500.0,510.0,229300,0.002,-0.0,0.0,0.0034,-0.0014,-0.0155,0.0069,0.0,0.0007,0.0025,0.0007,0.0001,0.0,0.0008,-0.0001,0.0001,0.0,0.0
2026-08-28,500.0,515.0,500.0,510.0,274900,0.0002,-0.0,0.003,-0.0002,-0.0096,0.024,-0.0075,0.004,-0.0054,-0.0285,0.0073,0.0001,0.005,0.0076,0.0,0.0,0.0,0.0
