Date,Close,High,Low,Open,Volume,XL,PD,CP,BQ,CC,KK,ZP,YP,XA,OD,SQ,QA,XC,LS,YB,AI,AZ,EP,NI,MG,IF,HP
2026-08-24,106.0,111.0,106.0,108.0,1125200,-0.0057,0.0005,0.0024,-0.0001,-0.0315,0.0144,0.0,0.0077,0.0304,-0.0109,0.0,0.0,-0.0016,0.0,-0.0,0.0,-0.0022,0.0,0.0008,0.0,0.0,-0.0042
2026-08-26,110.0,111.0,106.0,107.0,1597400,-0.0193,-0.001,-0.0043,0.0071,-0.0022,-0.0311,0.0,0.0084,0.0485,-0.0004,0.0,0.0,-0.0018,0.0,0.0,0.0,-0.0021,0.0,-0.0003,-0.0011,-0.0003,0.0
2026-08-27,114.0,116.0,109.0,113.0,2559400,-0.0617,0.0042,-0.0085,0.017,-0.0042,0.0,0.0,0.027,0.0602,0.0,-0.0155,0.0,-0.0128,-0.0035,-0.0,-0.0002,-0.0,0.0307,-0.0326,0.0,0.0,0.0
2026-08-28,111.0,115.0,108.0,115.0,1312800,-0.0044,0.0001,-0.0014,-0.0424,0.0024,-0.0024,0.0001,0.0357,0.0122,-0.0,0.0,-0.0011,-0.002,0.0032,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
