Date,Close,High,Low,Open,Volume,AK,TP,YB,AT,XL,HD,MG,BK,RF,KZ,KK,SH,DR,HP,AO,LG,DH,IF,NI,XA,ZP,BB,AZ,YP,SQ,PC,CP,CC,EP,DX,AG,BQ,PD,OD,IN,XC,LS,YU,QA,AR,GR,DP,FO,TF,RO,ID,FZ,KI,SA,FS,YJ,PG
2026-08-24,745.0,750.0,740.0,745.0,10673200,0.5335,-0.0373,-0.0987,0.0034,-0.1953,-0.0128,0.0,0.1068,0.0,2.9,-0.0959,0.0,0.4852,-0.0001,0.0,-0.8462,-0.0004,0.0,-0.2086,0.1951,0.5193,0.0,0.129,-0.4581,-0.0356,0.0,-0.0164,-0.1064,-0.0004,-0.0777,-0.6407,-0.005,0.621,-2.5,0.0,-0.0297,-0.0186,0.0,-0.0001,0.0,-0.1498,0.0,0.0,0.0,-0.0017,0.0,0.0,-0.0002,0.0,0.0,0.0,-0.0001
2026-08-26,735.0,745.0,725.0,745.0,18764800,-0.6178,-0.0401,0.0209,0.0058,0.1815,-0.057,-0.0001,0.1212,0.0147,0.4859,0.3655,0.0,-0.0086,-0.0018,0.0146,0.2226,0.1269,0.0,-3.5,0.5341,-0.3283,7.2,0.1593,0.2654,0.3821,0.0293,0.0691,-1.2,0.0012,-2.5,0.0,0.0,0.4026,-0.0033,0.0,-0.1929,0.0729,0.0382,0.0,-0.3598,-0.0062,0.0,0.0073,0.0,0.0,-0.0363,-1.8,0.0025,-0.0588,0.0007,-0.0007,0.0038
2026-08-27,745.0,755.0,730.0,730.0,25430900,-0.0733,0.0,0.0325,-0.0037,-0.0421,0.0,0.0,0.3753,-0.0076,6.4,-0.0207,1.9,0.0244,0.1148,-0.0157,-0.1314,-0.1395,0.0,-0.0099,-0.0271,0.1481,0.0,0.4091,-0.8932,-0.1414,-0.03,0.0,0.7292,-0.0148,-5.2,0.0002,-1.7,-1.2,0.0049,-0.0814,-0.0305,-0.083,0.0029,-0.0027,-0.0019,-0.0148,-0.2853,-0.0075,0.0009,0.0095,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-08-28,735.0,745.0,730.0,745.0,8109900,-0.1444,-0.0147,-0.0118,0.0074,0.0804,0.0148,0.0074,-0.1654,0.0294,2.2,0.1603,0.0147,0.0116,0.1511,0.0074,0.0579,0.0936,-0.0373,0.2421,0.0849,-1.2,-0.0334,0.8846,0.2472,0.0396,0.0368,0.037,-0.6513,0.0082,-2.5,0.1438,0.0662,0.2922,-0.2916,-0.0257,0.1533,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
