Date,Close,High,Low,Open,Volume,TP,YB,XL,HD,KZ,SH,KK,DH,YU,FZ,IF,AI,XA,KI,ZP,BB,YP,AF,CC,DX,BQ,PD,OD,EL,XC,AK,ES,BR,MG,YJ,FS,PG,DR,AO,IH,LG,NI,AZ,CP,TF,EP,BK,SQ,BS,JB,QA,AR,GR,RF,HP,PI,AG,CD,RG,RO,SS,MU,OK,DP,RS
2026-08-24,8725.0,8725.0,7875.0,7900.0,61653600,-84.0,0.0,-22.2,0.0,27.2,-0.8257,-6.9,-0.9764,-6.4,0.0,-0.6671,-12.3,8.0,-1.2,22.6,0.0,-4.4,0.0,-5.1,0.0413,-8.7,18.6,-3.3,-1.8,-8.7,101.8,0.0,-1.9,-1.8,0.0,0.0,0.0,-4.2,0.005,0.0,-3.9,-4.3,-49.7,4.2,0.0,-0.9604,51.0,3.2,0.0,0.0008,-2.6,0.0,-8.8,0.2253,0.0518,0.0,10.7,0.0,0.0,-0.5835,0.0,0.0,0.0,0.0,0.4724
2026-08-26,9125.0,9175.0,8550.0,8725.0,48283300,-35.8,0.0,-2.3,0.9383,-13.8,0.0,-8.4,-3.6,-29.2,0.0,0.3829,-2.1,-0.9976,-0.7874,20.6,-9.7,-1.4,0.0,-24.9,1.3,-6.4,146.1,1.4,0.0,4.7,-1.4,-6.0,0.0,2.3,-1.9,0.905,0.1341,-1.9,0.0,0.0,-44.8,-1.5,24.4,-2.7,0.0,-1.5,18.9,-9.7,0.0,0.0,0.0,0.0,-1.2,0.0089,0.0,0.0,0.0,1.8,0.0,0.0,-9.0,0.0089,0.0091,-1.1,0.0
2026-08-27,9125.0,9150.0,8800.0,9100.0,20530600,0.0,0.5081,5.4,0.0812,3.9,0.0,0.6414,0.2453,0.4808,0.4538,-0.1191,-0.8855,0.1029,-0.2217,-31.0,0.4525,-0.1391,-2.3,14.6,-1.0,0.0,49.6,0.3915,-0.0221,0.3016,-27.5,0.0,-7.2,-1.7,0.0036,-0.5421,-0.1825,0.0386,0.0231,0.0,-13.1,-1.3,-6.7,2.4,-0.0099,-0.2328,14.3,0.6964,-0.0093,0.0332,-0.0196,-0.0329,-0.3175,0.0044,-0.1324,0.0545,0.0534,-0.0109,-0.0226,0.021,0.0,0.0,0.0,0.0,0.0
2026-08-28,9300.0,9400.0,8850.0,9000.0,39335300,-0.4302,0.0526,-18.5,-1.0,4.4,2.4,1.2,-0.2338,-37.9,0.0191,-0.6997,7.6,-0.3428,0.0649,22.7,-0.6257,-3.9,-0.7746,-36.6,0.1199,-4.1,139.9,-0.6809,0.1582,-4.4,-20.0,-2.1,0.0946,-0.7315,-5.3,-4.5,0.3725,-0.554,1.2,-0.4575,-7.4,-0.98,-31.4,-2.1,0.013,0.9726,4.8,0.3409,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
