Date,Close,High,Low,Open,Volume,AZ,AO,HP,QA,EP,HD,ZP,SQ,GR,KI,YP,AI,LG,OD,AT,CP,KK,XL,XA,YB,BQ,XC,PD,AK,DH,BK,NI,CC,IF,DR,MG,FS,YU,CD,YJ,RO,AG,SS,BR,JB,FZ,DX,PC,TP
2026-08-24,94.0,97.0,93.0,97.0,35385200,-0.326,0.0,-0.0204,-0.0,0.0129,0.0008,0.2253,0.1481,0.0067,0.0008,-0.1886,0.0002,0.0149,0.0087,0.0755,0.0823,-0.0257,0.2006,-0.0209,-0.0516,0.1386,0.1574,0.0158,0.045,0.026,-0.0068,-0.0945,0.449,-0.1123,-0.0064,-0.8085,0.0066,0.0486,0.0003,0.0,-0.0006,0.0,0.0009,0.0,0.0,-0.001,0.0005,0.0002,-0.0024
2026-08-26,91.0,96.0,91.0,95.0,33737400,0.0231,0.077,-0.0565,0.0,0.0214,-0.001,0.2233,-0.1376,0.1593,0.001,-0.024,0.0009,0.0129,0.0532,0.05,-0.1789,0.0263,-0.0113,0.0082,0.0141,-0.0468,-0.0145,0.1621,-0.1858,0.0398,-0.0022,0.2487,-0.5289,0.0,-0.0045,-0.0043,0.0037,0.0533,0.0002,0.0009,0.0,0.0092,0.0009,0.0,0.0001,-0.0001,0.0069,0.0,0.0
2026-08-27,93.0,94.0,90.0,90.0,12660700,0.0,-0.0001,-0.0047,0.0001,-0.0072,0.0503,0.0815,0.0213,0.0465,0.0066,-0.0863,0.0071,0.0001,-0.0305,-0.0601,-0.0187,-0.0061,-0.0503,0.0194,0.0047,0.0114,-0.0976,-0.0108,0.1341,0.0248,0.0018,-0.035,0.0342,-0.0,-0.001,-0.0121,0.0045,-0.0275,-0.0002,0.0001,-0.0001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-08-28,93.0,95.0,93.0,94.0,10010100,0.1704,-0.0,-0.0184,-0.0001,0.0104,0.0886,0.0539,-0.0688,-0.0836,-0.0017,-0.0186,0.093,0.0,0.0119,-0.0004,-0.0046,0.0037,-0.1041,-0.0032,0.0152,0.0025,-0.0686,-0.0202,-0.0323,-0.0281,-0.0019,-0.0057,0.002,0.0,-0.0008,0.0095,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
