Date,Close,High,Low,Open,Volume,AZ,XL,QA,EP,ID,HD,PG,SQ,BQ,XC,PD,DH,YP,NI,CC,LG,RO,KK,OD,MG,AT,GR,IF,DR,CP
2026-08-24,157.0,161.0,156.0,160.0,3368100,-0.0075,0.1401,0.0,0.0,0.0,-0.0002,0.0,-0.0088,0.01,0.0277,0.0041,-0.018,-0.0866,0.0025,0.0162,0.0,0.0016,0.0,-0.0817,0.0,0.0,0.0,0.0,0.0,0.0006
2026-08-26,152.0,157.0,152.0,157.0,2781500,0.0104,0.0784,0.0,0.0,0.0,0.0001,0.0,-0.0029,0.0,-0.0146,-0.0075,-0.0144,0.006,0.0027,-0.0575,0.0,0.0,0.0,-0.0009,0.0,-0.0002,0.0003,0.0001,-0.0001,0.0
2026-08-27,156.0,157.0,152.0,152.0,1153600,0.0,-0.0358,-100.0,0.0,0.0062,-0.0005,0.0,0.0052,0.0067,0.0068,0.0011,-0.0012,0.0247,0.003,-0.0136,0.0,0.0,0.0005,0.0016,-0.0046,0.0,0.0,0.0,0.0,0.0
2026-08-28,157.0,159.0,154.0,156.0,902300,-0.0001,-0.0001,0.0,-0.0071,-0.0063,0.0,0.0,0.0007,-0.0006,0.0062,-0.0098,-0.0015,0.0173,-0.0029,0.004,0.0002,-0.0002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
