Date,Close,High,Low,Open,Volume,RO,CC,YP,DR,KK,XL,XC,GR,OD,BQ,YU,AG,NI,PD,TP,CP,AI
2026-08-24,348.0,352.0,344.0,348.0,19100,0.0,-0.0007,-0.001,-0.0003,0.0,-0.0006,0.0025,-0.0001,0.0001,0.0,0.0,0.0,0.0,0.0,0.0,0.0001,0.0
2026-08-26,350.0,350.0,340.0,350.0,29000,0.0,0.0086,-800.0,-0.0003,0.0,-0.0018,-0.0064,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-08-27,356.0,358.0,340.0,350.0,128400,-0.0,-0.0059,0.0002,-0.0001,0.0,0.0138,-0.0063,-0.0,-0.0007,0.0004,-0.0,-0.0004,0.0023,-0.0011,-0.0,0.0002,-0.0023
2026-08-28,350.0,356.0,348.0,356.0,46100,0.0,-0.0008,0.0011,0.0002,0.0004,-0.0013,0.0001,0.0003,200.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
