Date,Close,High,Low,Open,Volume,KK,XL,BK,FS,GR,YP,XC,AK,NI,CC,OD,DH,SQ
2026-08-24,1815.0,1855.0,1800.0,1825.0,10200,0.0,0.0015,-0.0166,0.0124,0.0,0.0009,-0.0004,-0.0004,0.0,-0.0004,0.0,0.0011,0.0018
2026-08-26,1800.0,1900.0,1800.0,1800.0,28900,-0.0011,-0.0069,-0.0092,0.0338,0.0,-0.0088,-0.0024,-0.0002,-0.0027,-0.003,0.0005,0.0,0.0
2026-08-27,1805.0,1870.0,1800.0,1800.0,7400,0.0,0.0002,-0.0108,0.0121,-0.0002,-0.0008,-0.0005,0.0,0.0,0.0,0.0,0.0,0.0
2026-08-28,1810.0,1810.0,1800.0,1800.0,200,-0.0002,0.0002,-0.0002,0.0002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
