Date,Close,High,Low,Open,Volume,AT,AZ,RO,CC,YP,NI,DH,AO,XC,XL,LG,PD,BR,BQ,ZP,EP,SQ,AK,GR,AG,OD,CP,DR,YU,DX,RF,AI,QA,DP,KK,JB
2026-08-24,218.0,220.0,216.0,218.0,914900,0.0,-0.0,0.0,0.0011,-0.002,-0.0087,-0.0477,-0.1163,-0.0004,-0.0143,0.0,0.0031,0.0218,0.0,0.0,0.0,0.0,-0.0003,0.0034,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0218,-0.0011,0.1473,-0.0078,0.0
2026-08-26,218.0,222.0,216.0,220.0,934200,0.0,-0.0012,-0.0,-0.0004,-0.0214,0.0226,-0.028,-0.1023,0.0,-0.0122,0.0,0.0058,0.0,0.0,0.0,0.1197,0.0,-0.0006,0.0066,0.0037,0.0,-0.011,-0.0022,0.0005,0.0,0.0203,0.0,0.0,0.0,0.0,0.0
2026-08-27,222.0,224.0,216.0,218.0,1352100,-0.0003,-0.0,-0.0,-0.0099,0.0033,-0.0238,-0.0188,-0.1612,-0.0102,-0.0101,-0.0001,-0.0002,0.0104,-0.0093,0.2441,0.0008,0.0002,-0.0003,0.0155,0.0017,-0.0318,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-08-28,222.0,224.0,218.0,222.0,84300,-0.0002,-0.0,0.0,0.0,0.0025,-0.0044,-0.0006,-0.0046,0.0118,-0.0046,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
