Date,Close,High,Low,Open,Volume,AK,DR,BQ,GR,HP,SQ,DH,OD,MU,XC,KK,YU,AT,LG,PD,EP,XA,CC,NI,YB,XL,YP,HD,CP,DX,KI,MG,RG,AZ,AI,TP,BS,ZP,BK,DU,IC,YJ,IF,IU,PC,AO,LS
2026-08-24,2720.0,2740.0,2690.0,2740.0,596900,-0.0003,-0.0271,0.0,0.0079,0.0003,-0.0758,0.0003,-0.1037,0.0,0.5488,0.0279,0.0,0.0,0.0,-0.0084,0.0046,0.0,-0.1539,0.0232,0.0068,0.1104,-0.3631,0.0,0.0539,0.0,0.0,-0.034,0.0,0.0114,0.0,0.0422,0.0,0.0,-0.0101,0.0,0.0,0.0,0.0,0.0049,0.0546,0.0149,-0.1357
2026-08-26,2670.0,2720.0,2670.0,2710.0,645700,-0.0083,-0.0119,0.0013,0.0372,0.0,-0.7377,0.0,0.1326,0.0005,-0.0622,0.0281,0.0016,0.0005,0.0172,-0.0221,-0.0005,-0.0732,0.4241,0.0093,0.0038,0.2105,0.0567,0.0005,0.0035,0.0,0.0,0.0297,0.0027,0.0,0.0,0.0008,0.0,-0.0235,-0.0175,0.0003,0.0068,0.0008,0.0003,-0.0121,0.0,0.0,0.0
2026-08-27,2700.0,2710.0,2630.0,2660.0,669800,-0.0003,-0.004,-0.0066,-0.0083,0.0,-0.0673,0.0362,-0.0049,0.0,-0.002,-0.0108,0.0,0.0008,0.024,0.352,0.0024,0.0,0.56,-0.1931,-0.004,0.2491,-0.8089,0.004,0.0081,-0.0002,0.0,-0.0817,0.0013,-0.0011,-0.004,0.0046,-0.0003,-0.0538,0.0087,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-08-28,2730.0,2760.0,2700.0,2700.0,474100,-0.0003,0.144,-0.0016,-0.0196,0.0096,-0.3253,-0.011,-0.0066,-0.0,-0.0833,0.0144,0.0546,-0.0011,0.186,-0.0672,0.003,-0.0022,-0.2954,-0.0162,-0.0003,0.0256,0.384,-0.0022,0.0071,0.0046,-0.0005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
