Date,Close,High,Low,Open,Volume,AZ,AG,QA,EP,ZP,SQ,GR,KI,YP,PI,LG,OD,AT,CP,KK,XL,XA,BQ,XC,PD,AK,YJ,NI,CC,IF,DR,MG,PO,DH,RO,HP,AI,SH,TP,YB,FZ,GI,IN
2026-08-24,66.0,70.0,66.0,66.0,39832400,-0.0542,-0.0044,-0.0022,0.0127,0.0,-0.0331,-0.0633,-0.0043,0.2208,-0.0014,-0.0173,0.0227,0.005,0.0259,-0.0733,0.2294,0.0009,-0.0064,-0.0158,-0.0135,-0.1251,0.0496,-0.001,-0.2709,0.0,0.1099,0.0145,0.0,-0.0005,-0.0,0.0,0.0,0.0,0.0,0.0007,0.0003,-0.0021,-0.0035
2026-08-26,62.0,67.0,62.0,67.0,23750700,0.0773,0.0001,0.0001,0.0036,0.0016,0.1126,0.0298,0.0003,-0.0748,0.0115,-0.0,0.0135,0.0065,-0.0245,0.0091,-0.0399,-0.006,-0.0279,-0.0277,0.0317,-0.0493,0.006,0.0587,-0.1106,-0.0052,-0.0885,0.014,0.0,0.0076,-100.0,-0.0146,0.0744,0.0186,-0.0001,-0.0076,0.0,0.0,0.0
2026-08-27,64.0,65.0,61.0,62.0,7349100,-0.0735,0.0,-0.0002,0.0025,0.0061,-0.0089,0.0018,0.0,-0.0555,-0.0096,0.0001,0.0004,0.0,-0.0003,0.0149,0.0128,-0.0,0.0019,-0.0016,0.005,0.0223,0.0006,-0.0079,0.1113,0.0032,-0.0093,-0.0223,0.0005,0.005,0.0007,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-08-28,64.0,66.0,64.0,65.0,8002800,-0.0044,0.0,0.0051,0.0203,0.065,0.011,-0.0343,0.0012,-0.0977,-0.002,0.0,0.0056,-0.0134,0.0019,-0.0091,0.0269,-0.0002,-0.0005,0.0041,-0.0629,0.0137,-0.0015,0.0185,0.072,0.0032,0.0064,-0.029,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
