Date,Close,High,Low,Open,Volume,AK,NI,XA,KI,YP,SQ,AZ,XL,HD,CP,CC,KK,RG,DR,PD,GR,LG,XC,SF,TP,YB,AT,QA,EP,BQ,OD,AI,ZP,AG,RO,MG,DH
2026-08-24,76.0,79.0,75.0,77.0,8486400,-0.0152,-0.0036,0.0107,0.0,-0.0227,0.0022,-0.005,0.0355,0.0007,-0.0272,-0.0093,0.007,-0.0002,0.0091,0.0121,0.0,0.0008,0.0113,0.0,0.0008,0.0003,-0.0077,0.0001,0.001,-0.013,0.0001,-0.0015,0.0002,0.0075,0.0001,0.0054,0.0008
2026-08-26,74.0,77.0,74.0,76.0,5318900,0.0007,-0.0034,-0.0005,0.0001,0.0748,-0.0001,0.0236,-0.0189,-0.0007,-0.0039,-0.0397,-0.0023,0.0,0.0178,-0.0146,0.0,0.0027,-0.0092,0.0038,0.0,0.0002,0.0,-0.0,0.0001,-0.0009,0.0079,0.0,-0.045,0.0074,0.0002,0.0,0.0
2026-08-27,75.0,76.0,72.0,74.0,3323700,-0.0021,0.0003,-0.0142,0.0,-0.0059,0.0038,-0.0132,0.0269,0.001,-0.0033,0.0371,-0.0137,0.0,-0.0021,-0.0028,-0.0001,0.0003,-0.0084,0.0001,0.0001,0.0001,-0.0,-0.0001,0.0001,0.0016,-0.0055,0.0,0.0,0.0,0.0,0.0,0.0
2026-08-28,75.0,76.0,74.0,75.0,1879600,0.0044,0.0001,-0.0068,0.0,0.0658,100.0,-0.0105,-0.0084,-0.0007,-0.003,-0.0053,-0.0024,-0.0133,0.0,-0.0266,0.005,-0.0005,0.002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
