Date,Close,High,Low,Open,Volume,PD,ZP,MG,XA,CC,NI,XL,SQ,YP,XC,EP,RO,KK,KI,BK,AG,DX
2026-08-24,388.0,390.0,388.0,390.0,62100,-0.0001,-0.0037,-0.0101,0.0006,0.0016,0.0,0.0188,0.0005,0.0009,-0.0005,0.0004,0.0005,0.0,0.0,0.0,-0.0089,0.0
2026-08-26,390.0,390.0,386.0,388.0,284400,0.0,-0.0799,-0.0057,0.1014,0.0,0.0,-0.0179,0.0002,-0.0015,-0.0007,0.0039,0.0001,0.0001,0.0,-0.0001,0.0,0.0
2026-08-27,390.0,390.0,386.0,390.0,33400,0.0002,-0.0012,0.001,0.0007,0.0003,0.0,0.0016,0.0002,-0.0035,0.0006,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-08-28,390.0,390.0,388.0,390.0,237300,0.0,-0.0737,-0.018,0.0148,0.0002,0.0615,0.0152,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
