Date,Close,High,Low,Open,Volume,FS,MG,CC,HD,NI,DR,KK,XC,AZ,PC,PD,TP,IF,DH,XA,PG,RO,YP,XL,CP,OD,QA,SQ,KI,BQ,ZP,EP,YB,LG,AO,AG,GR,DU,SF,YJ,RB,FZ
2026-08-24,90.0,91.0,78.0,86.0,17417200,-0.1285,-0.2114,0.0249,-0.0112,0.0307,0.1436,0.0114,0.0347,0.0009,0.0025,0.1283,-0.0008,0.0049,-0.0009,-0.0004,0.2892,0.0,0.0364,-0.2369,-0.0999,0.0669,-0.0001,0.0082,-0.0017,-0.0054,-0.0017,0.0165,0.0,0.0009,-0.0082,0.0,0.0039,0.0,-0.1059,0.009,0.0,0.0
2026-08-26,85.0,96.0,85.0,91.0,20578600,-0.0848,-0.4987,-0.0703,-0.0085,-0.0088,0.3349,0.0327,0.1249,0.0425,0.0004,0.0461,0.0016,0.0469,-0.0122,-0.0043,0.0,0.0001,0.0422,0.0437,-0.1256,0.0203,0.0,0.0176,0.0752,0.0164,0.0081,0.0006,0.0005,-0.0048,0.0138,0.0002,0.0046,0.0,-0.047,-0.0056,-0.0028,0.0
2026-08-27,88.0,90.0,82.0,90.0,7648900,0.1551,0.0869,0.0247,0.0,-0.028,0.0441,0.0055,0.0214,-0.0025,0.0,0.0009,0.0,0.0053,-900.0,0.0035,-0.1503,0.0,0.0088,0.0398,-0.112,-0.0589,0.0001,0.0,-0.0,-0.0684,0.0001,0.0043,-0.0004,0.0035,0.0166,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-08-28,87.0,88.0,85.0,88.0,7976200,0.1339,0.3187,-0.0234,-0.0087,0.0001,0.0119,-0.0096,-0.0209,0.0017,-0.0006,-0.0427,0.0003,0.0011,0.0004,0.0009,-0.2673,-0.0,0.0001,-0.0472,-0.0087,0.0003,0.0002,0.004,0.0,-0.0061,-0.0044,-0.0341,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
