Date,Close,High,Low,Open,Volume,TP,XL,HD,LS,KK,DH,YU,IF,KI,ZP,YP,CC,MI,BQ,PD,GR,OD,XC,AK,BR,AT,FS,YJ,DR,HP,LG,NI,AZ,CP,EP,BK,RO,SQ,AO,DP,XA,PC,DX,AG,YB,PP,MG
2026-08-24,985.0,995.0,975.0,985.0,2580700,0.001,0.1423,0.0,0.001,0.0475,0.1061,0.0011,0.0005,-0.0011,0.0041,0.3267,-0.0462,0.0,-0.0001,-0.0473,-0.0823,0.0448,0.1789,0.0508,0.0034,0.0235,0.001,0.0006,-0.0003,0.0,0.0032,0.0198,0.0004,0.0557,0.0063,0.0008,0.0002,-0.0084,0.0,-0.9313,0.0197,0.0796,0.0,0.0,0.0,0.0,-0.002
2026-08-26,975.0,985.0,970.0,985.0,2410000,0.001,0.1691,0.0,0.0,0.1125,0.0255,0.0022,0.0004,0.0189,0.0012,0.2474,-0.3586,0.0024,0.0002,0.1991,-0.1933,0.0261,-0.0165,-0.0407,0.0025,0.0118,0.0,0.0005,-0.0184,0.0,0.0131,0.068,0.0099,0.0302,-0.1539,0.0,0.0,0.0042,0.0,-0.25,0.0004,0.0987,0.0003,0.0,-0.0034,-0.0107,0.0
2026-08-27,975.0,985.0,965.0,975.0,3378100,0.0667,0.8772,-0.0491,0.098,-0.133,0.0411,0.0012,-0.098,-0.0047,0.1642,-0.0561,-0.0126,0.0,0.0005,-0.199,0.0155,-0.0387,0.0258,-0.6726,0.0083,0.0026,0.001,0.0,0.0045,-0.0005,0.0882,0.0934,0.0082,0.0629,-0.001,-0.0335,0.0001,0.0488,0.0097,-0.3795,0.0004,0.058,0.0015,0.0005,0.0,0.0,0.0
2026-08-28,985.0,990.0,975.0,980.0,1978700,-0.001,0.554,0.0065,-0.001,-0.005,0.0001,-0.0338,-0.0099,0.0001,-0.0036,0.5207,-0.1712,0.0025,0.0001,-0.4969,0.0235,-0.0239,0.0355,-0.5354,-0.016,0.0007,-0.001,-0.001,0.05,-0.0115,-0.002,0.0186,-0.0099,-0.0433,0.0175,0.0022,-0.0003,0.1347,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
