Date,Close,High,Low,Open,Volume,CC,KK,PD,XL,XC,YP,EP,SQ,DH,NI,XA,KI,CP,CD
2026-08-24,1110.0,1125.0,1110.0,1110.0,7600,-0.0002,0.0081,0.0001,-0.0061,0.0,0.0,0.0,0.0,-0.0008,-0.0011,0.0,0.0,0.0,0.0
2026-08-26,1110.0,1120.0,1100.0,1110.0,15200,0.0,0.0139,-0.0003,-0.0021,-0.007,0.0003,0.0,-0.0004,-0.005,-0.0001,0.0001,-0.0001,0.0009,-0.0001
2026-08-27,1120.0,1125.0,1110.0,1110.0,2200,0.0,0.0001,-0.0018,0.0001,0.0016,-0.0002,-0.0001,0.0003,0.0,0.0,0.0,0.0,0.0,0.0
2026-08-28,1120.0,1120.0,1110.0,1110.0,1600,-0.0013,0.001,-0.0002,-0.0001,0.0007,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
