Date,Close,High,Low,Open,Volume,PC,HP,QA,GR,YP,LG,OD,CP,XA,PD,DH,AK,BK,NI,SF,CC,RO,AZ,EP,ZP,HD,SQ,KI,AI,YU,AT,TP,KK,XL,TF,YB,DX,BQ,XC,YJ,AO,IF,DR,MG,AG,LS,FZ,DU,CD,GI
2026-08-24,81.0,85.0,81.0,85.0,20464200,0.0,0.0,0.0,0.0217,0.076,-0.014,0.0182,0.0048,0.0061,-0.0052,-0.0218,0.0123,-0.0,-0.0631,0.001,0.0809,0.0009,0.0009,-0.0335,0.0,0.0011,-0.0288,0.0,0.0,0.0,0.0045,0.0,0.014,-0.286,0.0,0.001,0.0019,-0.0118,0.0267,0.2075,0.0012,0.0,-0.0186,-0.0393,0.0002,0.0,-0.0,0.0412,0.0,0.0
2026-08-26,74.0,82.0,74.0,82.0,28703400,0.0,0.0,-0.0001,0.0798,-0.0692,0.0088,0.0137,0.0257,0.0029,0.0119,0.0047,0.0506,0.0001,0.0015,0.0017,-0.0582,-0.0047,0.0192,-0.036,0.0,-0.0007,0.0199,0.0009,0.0078,0.0,-0.0105,0.0073,0.0083,0.0121,0.0,0.0133,0.0026,-0.0345,0.0056,0.0027,-0.0008,0.0217,0.004,-0.0012,-0.0004,-0.0711,0.0001,-0.0395,-0.0,-0.0
2026-08-27,80.0,81.0,73.0,73.0,25627800,0.0,0.0,-0.0003,-0.0084,-0.1003,-0.002,0.034,-0.0074,-0.0114,0.013,-0.0084,0.0094,0.0047,-0.012,0.0,0.3677,0.0007,-0.0358,-0.0779,0.0,-0.0042,-0.0116,0.0,0.0039,0.0,-0.0028,-0.0075,-0.0054,-0.0668,0.0,-0.0175,0.0,-0.0551,0.0228,-0.0028,-0.0005,-0.0157,-0.0001,-0.0023,0.0,0.0,0.0,0.0,0.0,0.0
2026-08-28,80.0,88.0,79.0,80.0,78120200,0.16,0.0001,-0.0002,0.0158,0.2459,-0.0036,-0.025,0.1271,0.0993,-0.1442,0.0076,-0.1637,-0.0049,-0.0186,-0.0025,-0.3803,-0.0019,0.0565,-0.0156,0.0161,-0.0026,0.0545,-0.0118,0.0004,0.0042,0.0094,0.0004,0.043,0.1522,-0.0001,-0.0255,-0.0017,-0.2112,-0.0021,0.0015,-0.0002,-0.0051,0.0104,0.0167,0.0,0.0,0.0,0.0,0.0,0.0
