Date,Close,High,Low,Open,Volume,TP,YB,XL,HD,LS,KK,DH,YU,IF,QA,AI,XA,KI,YP,MU,CC,DX,BQ,PD,GR,OD,XC,AK,ES,MG,AT,YJ,DR,PG,HP,AO,LG,IU,NI,AZ,SQ,CP,TF,EP,AG,CD,RG,BK,RO,ZP,SH,PC,RB,DU
2026-08-24,143.0,148.0,143.0,148.0,7480300,0.0021,-0.0103,-0.0535,0.0001,0.0,0.0317,0.0004,0.0,0.0101,0.0,0.0007,0.0002,0.0,0.0216,0.0,-0.0558,0.0,-0.0036,0.0074,0.0548,-0.0083,0.1135,-0.1463,0.0,-0.0001,0.0007,0.0001,0.0382,0.0,-0.0011,0.0,0.0,0.0,-0.0014,0.0065,-0.0039,-0.003,0.0,-0.0008,0.0,0.0,0.0,-0.0065,0.0,-0.0119,0.0,0.0,0.0182,0.0
2026-08-26,141.0,155.0,137.0,143.0,32065000,-0.0279,0.0072,-0.3336,-0.0001,0.0,-0.0227,0.0013,0.0149,-0.0445,0.0034,-0.0004,-0.0332,0.0,0.1267,0.0,0.146,0.0,0.0133,0.0833,0.0083,-0.0762,0.1167,-0.0877,0.0,0.0226,-0.0007,-0.0003,-0.001,0.0,0.0295,-0.0005,0.0008,0.0,0.0217,0.0008,-0.0472,-0.0179,0.0,-0.0004,0.3125,0.0083,0.0,-0.2065,0.0164,-0.0259,0.0,0.0,-0.0073,0.0
2026-08-27,146.0,151.0,137.0,138.0,12963100,0.0,-0.0109,-0.1135,0.0,-0.027,0.0367,0.0,0.0,0.0,0.0008,-0.0002,0.0015,0.0034,-0.0133,0.0,-0.0893,0.0,0.0117,-0.01,-0.0412,-0.008,-0.0406,0.095,0.0,-0.0216,-0.0032,0.0519,-0.0379,0.0,0.0,0.0,0.0,0.0,-0.0197,-0.0004,-0.0153,-0.0021,0.0,0.0051,0.1457,-0.0078,0.0,0.1112,-0.0003,0.0135,-0.0004,-0.0015,-0.0123,0.0
2026-08-28,174.0,179.0,162.0,163.0,253212700,-0.0,-0.0149,0.3163,0.0003,-0.0001,-0.0637,-0.0159,0.0006,-0.0357,-0.0043,-0.1106,1.4,0.0049,0.3432,-0.0001,-0.1431,0.0106,-0.1733,0.0227,-0.0364,-0.1791,-0.3265,-0.156,0.0007,0.6944,0.0082,-0.1171,0.0216,0.0,-0.0336,-0.0816,0.2187,0.0002,0.0441,-0.0323,-0.0218,0.1184,0.0018,0.0172,-1.5,0.0081,-0.0,-0.1265,-0.0181,-0.0413,0.0,0.0,0.0,0.0
