Date,Close,High,Low,Open,Volume,TP,SF,YB,XL,HD,KK,ID,DH,PO,IF,YU,AI,XA,KI,FZ,DU,QA,GA,YP,CC,AR,DX,BQ,PD,GR,OD,IN,XC,AK,BR,MG,RF,YJ,FS,PG,DR,HP,AO,LG,IU,PF,NI,AZ,SQ,CP,EP,AG,BK,RO,ZP,LS,SH,JB,AT,ZR,GI,CD,RG,PC,SA,EL,PI,RS,BF,ES,IH,TF
2026-08-24,101.0,105.0,101.0,104.0,1235763300,2.0,0.0,-0.2868,3.8,0.0195,0.4531,0.0,0.6221,0.9406,-0.8675,-1.8,0.0972,-0.2519,0.4025,0.2143,-0.0001,0.0227,0.0,-4.4,1.3,0.0,0.0,-3.8,-1.1,-0.838,-1.2,-1.1,2.0,-3.0,0.0,-0.5433,0.0,-0.0051,0.0,0.021,0.1051,0.0681,0.6278,-0.6566,2.1,0.0,0.3856,-0.4919,0.6914,3.4,-0.4397,-0.4024,-1.4,0.0289,0.9519,0.0,0.0,0.0,-0.0399,0.0,0.0,0.0,0.0,2.0,0.0505,0.0,-0.509,-0.0001,-0.1614,1.0,-0.1872,-0.0025
2026-08-25,101.0,101.0,101.0,101.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-08-26,95.0,102.0,95.0,100.0,1567166000,2.0,0.0,-2.0,6.5,-1.4,-0.356,0.0,0.4744,3.0,-0.7068,-0.8553,-1.1,-0.3224,-0.5664,-0.9575,0.48,0.0,0.0,-6.3,9.3,0.0,0.0,-1.3,2.2,-3.0,-6.3,1.5,3.3,-1.1,-0.1335,-1.9,0.0,-0.0262,0.0,0.5342,0.9161,0.0,0.2572,1.3,-3.6,0.995,0.5283,-3.5,-0.1131,0.1319,0.4834,0.0,0.385,0.216,-1.7,0.4752,0.0,0.0,0.1308,0.3173,-0.0,0.8652,-0.02,1.2,0.1455,-0.0537,-0.7663,0.0,0.0,0.0,0.0,0.0
2026-08-27,101.0,101.0,92.0,95.0,1304902700,-0.274,0.0,1.3,11.2,0.1766,0.4235,-0.0706,-0.3905,-3.1,0.2438,0.4726,-0.4966,0.7802,0.0412,0.0376,-0.505,-0.053,0.0,0.8397,1.4,0.0,0.0,-0.0908,-0.6172,4.0,1.1,-4.3,2.5,6.7,0.0,-0.7073,0.0,-0.5438,0.0,0.0,-0.2858,-0.1796,0.0145,-2.2,0.0003,-0.505,2.0,0.8378,0.4903,-17.6,-0.5932,-1.1,0.6477,-0.0476,-0.2401,-0.5031,-0.2144,0.001,-0.1416,0.01,100.0,0.0001,-0.2089,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-08-28,98.0,101.0,97.0,101.0,875873200,0.0731,-0.0001,-0.1681,-4.7,-0.1464,0.518,-0.0098,0.8991,0.9795,0.1762,-0.8811,0.1823,0.1332,0.5667,-0.0112,-0.7583,-0.0011,-0.198,-0.0579,2.0,-0.02,0.0894,-0.3102,-0.2616,-0.0253,-0.015,-1.5,1.3,-5.3,1.1,-0.0245,-0.001,0.2396,0.2327,0.196,-0.3149,-0.8503,-0.0194,0.7008,0.201,2.0,0.6563,0.5313,1.0,0.8346,0.1389,-0.0134,-0.0532,0.1246,0.7334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
