Date,Close,High,Low,Open,Volume,YB,MG,XL,HD,KK,DR,HP,DH,YU,QA,NI,AI,XA,KI,ZP,AZ,YP,CP,CC,EP,BQ,PD,GR,XC,OD,IN,SQ,RO,FS,AO,LG,AG,CD,DX
2026-08-24,149.0,151.0,145.0,146.0,1773700,0.0,0.0,-0.032,-0.0015,-0.008,0.0,0.0044,-0.0015,0.0,-0.0001,0.0089,0.0,100.0,0.0,0.0019,0.0,-0.0055,0.0008,-0.1096,-0.0089,-0.0057,-0.0046,0.0037,0.0103,0.0,0.0,-0.0074,0.0001,0.0,0.0,0.005,0.0,0.0011,0.1485
2026-08-26,147.0,154.0,147.0,149.0,881100,0.0,0.0,-0.0051,0.0,-0.0088,0.0,0.0061,0.0011,0.0,0.0,0.0104,0.0001,0.0,0.0004,0.0,-0.0041,-0.0037,0.0127,-0.0408,0.0,-0.0005,-0.0014,0.0003,-0.0018,0.0026,0.0,-0.0,0.0,0.0109,0.0273,-0.0051,-0.0008,0.0,0.0
2026-08-27,150.0,151.0,146.0,148.0,533300,0.0,0.0,-0.0036,0.0,0.0455,0.0,0.0,-0.0015,0.0,0.0,-0.0237,0.0,0.0,0.0003,0.0,0.0,-0.0007,-0.0165,0.0032,0.0,-0.0002,0.0067,0.0083,-0.0177,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-08-28,156.0,165.0,151.0,151.0,3482900,0.0016,-0.0001,0.0454,-0.0,-0.0318,-0.0014,0.0032,-0.0033,-0.0162,0.0103,-0.0013,0.0053,0.0003,-0.0007,-0.0502,0.0062,-0.0125,-0.001,-0.003,0.0303,0.0625,-0.0061,-0.0112,-0.0308,0.005,0.0001,-0.0005,0.0,0.0,0.0,0.0,0.0,0.0,0.0
