Date,Close,High,Low,Open,Volume,AZ,AG,SQ,GR,KI,YP,CC,OD,CP,KK,XL,XA,CD,BQ,XC,PD,AK,NI,AO,DR,MG,QA,EP,FZ,ZP,LS,DX,DH,BK,IF,RO,LG,TP,AT,YB
2026-08-24,59.0,61.0,59.0,60.0,11289200,0.004,0.0,0.0023,0.0118,0.0,0.0708,0.0357,0.0006,0.0289,0.0027,0.2353,-0.198,-0.0003,-0.0068,-0.0093,-0.0076,-0.018,-0.0,0.0,0.0,-0.1401,0.0001,-0.0124,0.0,0.0,-100.0,0.0,0.0002,0.0,0.0,0.0006,-0.0001,0.0,-0.0006,0.0002
2026-08-26,57.0,59.0,57.0,59.0,24638200,0.0246,0.0,0.0321,-0.0011,0.0012,-0.028,0.0072,0.0053,0.0029,-0.0376,0.0533,-0.219,0.0001,-0.0455,0.158,0.0281,-0.0022,0.0067,0.0029,0.0014,-0.0131,0.0,-0.0138,0.0,0.0,0.0,0.0,0.047,0.0,0.0007,0.0004,-0.0123,0.0006,0.0,0.0
2026-08-27,58.0,59.0,56.0,57.0,13479000,-0.022,-0.0003,0.0,0.0353,0.0,0.127,-0.0697,0.0014,-0.0024,-0.0185,0.0113,-0.0014,0.0,0.0007,-0.0076,-0.0198,-0.0017,0.0009,0.0,0.0001,-0.0182,-0.0001,0.0026,-0.0058,0.0,0.0,0.0,-0.0132,-0.0001,0.0011,0.0005,0.0,0.0,0.0,0.0
2026-08-28,57.0,59.0,56.0,59.0,23935900,0.0247,-0.0,0.0052,-0.0,0.0,0.011,-0.0143,-0.0002,-0.0006,0.0163,-0.0774,-0.0475,0.0002,0.0001,0.0347,0.0292,0.0016,0.0017,-0.0001,0.0017,0.0138,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
