Date,Close,High,Low,Open,Volume,PD,CP,AZ,RO,CC,KK,YP,EP,PC,OD,QA,XC,XL,BQ,DH,BK,LG,NI,MG,AT
2026-08-24,2130.0,2210.0,2100.0,2120.0,57200,0.0062,0.0,0.0,0.0,-0.0087,0.0,-0.0008,0.0011,0.0036,0.0053,0.0,-0.0209,0.0254,0.0,0.0002,0.0,0.0,0.0,-0.0114,0.0
2026-08-26,2060.0,2120.0,2060.0,2120.0,32300,0.0031,0.0,0.0,0.0002,-0.0142,0.0,-0.0079,0.0004,0.001,0.0091,0.0006,-0.0064,0.0078,0.0,0.0002,0.0,0.0062,-0.0002,0.0,0.0
2026-08-27,2100.0,2140.0,1925.0,2080.0,25700,-0.0012,0.0,0.0,0.0,0.0023,0.0,0.0002,0.0002,-0.0,0.001,0.0,-0.0012,-0.0024,-0.0,-0.0015,0.0027,0.0,0.0,0.0,0.0
2026-08-28,2050.0,2150.0,2050.0,2150.0,21100,-0.0029,0.0008,0.0004,0.0006,-0.0031,0.0015,0.0006,0.0008,0.0021,0.0002,-0.0004,-0.0088,0.0081,0.0,0.0,0.0,0.0,0.0,0.0,0.0
