Date,Close,High,Low,Open,Volume,YB,XL,LG,DH,YU,NI,XA,KI,AZ,YP,CP,CC,EP,BQ,PD,GR,XC,OD,SQ,MG,AT,HD,KK,YJ,DR,PC,CD,RO
2026-08-24,180.0,181.0,179.0,180.0,166900,0.0,-0.0039,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0049,0.0041,-0.0008,-0.0067,-0.001,0.0001,0.0,-0.0014,-0.0011,0.0005,0.0,0.0,0.0,0.0054,0.0,0.0,0.0,0.0,0.0
2026-08-26,179.0,194.0,178.0,180.0,4766100,-0.0001,0.0841,0.0,-0.0,-0.0033,0.0163,0.0002,0.0,0.0,-0.0033,0.0053,-0.0719,-0.0022,0.0001,0.0157,0.0009,-0.0137,-0.0007,-0.02,0.0,0.0001,-0.0,-0.0029,-0.0001,-0.0,-0.0002,0.0001,-0.0043
2026-08-27,178.0,183.0,177.0,181.0,347900,0.0,0.0001,0.0,0.0,0.005,0.0007,0.0,0.0,0.0,0.002,0.0004,0.0016,0.0,0.0,-0.0044,0.0004,-0.0021,0.0003,0.0003,-0.0045,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-08-28,181.0,187.0,178.0,179.0,957800,100.0,0.0238,0.0001,-0.0,-0.0052,0.0007,0.0001,-0.0,-0.0016,-0.0006,0.0018,-0.0185,0.0007,-0.0,-0.0056,0.0002,-0.0013,-0.0001,0.0057,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
