Date,Close,High,Low,Open,Volume,AG,HP,QA,GR,LS,YP,IU,LG,OD,CP,XA,PG,PD,AK,BK,DH,NI,CC,RO,FS,AZ,EP,FZ,ZP,HD,SQ,KI,AI,YU,TP,AT,KK,DD,XL,YB,DX,BQ,XC,YJ,IF,DR,MG,RG,BR,RB,CD,IN,AO,KZ,DU,ZR,JB
2026-08-24,1065.0,1070.0,1055.0,1065.0,12851600,0.3008,0.0532,0.0023,3.2,0.0,-1.4,-0.1118,-0.0851,-0.0201,-1.1,-0.1064,0.0,-0.432,0.239,0.0042,0.9209,-0.2954,-0.6455,0.0217,-0.0032,-0.0627,-0.2326,0.0005,-0.3178,0.4631,-0.5312,0.0327,1.2,-0.0757,0.0122,-0.0822,0.1905,0.0,-0.9722,-0.0049,0.0173,-0.067,0.5131,-0.0325,0.0084,-0.5483,-0.002,0.0,0.0,0.0,0.0021,0.0,0.0,0.0,0.0,0.0,-0.0047
2026-08-26,1005.0,1075.0,1000.0,1070.0,43227800,0.0,-0.0474,-0.0145,1.5,0.0,2.5,-0.0618,0.0,0.9331,-0.1006,0.2447,0.0,0.2631,-0.0401,-0.0002,0.7547,2.7,4.2,0.0,0.0,-0.005,0.3476,-0.0177,-23.3,-0.3102,0.3949,0.0,1.1,1.0,0.1494,0.18,0.4591,0.0,1.9,0.2983,0.1524,0.563,0.4015,0.1192,0.1254,0.4994,2.1,0.0,0.0,0.0,0.0,0.0,0.0,-0.0389,-500.0,0.421,0.0
2026-08-27,1030.0,1040.0,1000.0,1000.0,20997600,-0.2879,-0.0162,0.0011,0.0235,0.0342,-0.2827,0.0,-0.1204,-1.3,0.1587,-0.118,0.515,0.1824,0.1986,0.4654,0.4381,0.8569,-1.9,-0.0074,-0.1251,-2.2,-0.4888,0.002,0.3497,0.0388,2.5,0.0294,0.4275,-0.0508,0.0214,-0.0072,0.2274,0.0,0.2921,-0.0218,0.2988,-0.0421,0.0894,0.0,-0.0232,-0.1945,0.0466,0.0005,-0.0015,0.0103,0.001,-0.0015,-0.0981,0.0,0.0,0.0,0.0
2026-08-28,1030.0,1040.0,1025.0,1040.0,6655800,0.0204,0.1018,-0.0012,0.1647,-0.5138,-0.0235,0.0021,-0.0306,-0.0788,-0.1736,-0.1946,-0.1035,-0.0685,0.1777,-0.4083,-0.1782,0.116,-0.4644,0.0032,-0.0004,-0.0753,-0.0324,0.0007,1.9,-0.0947,-0.2314,0.0022,0.1998,-0.2593,0.0159,0.0028,0.0353,0.0079,0.1829,-0.044,0.0481,-0.2155,0.1036,0.0005,0.1073,0.0173,-0.0005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
