Date,Close,High,Low,Open,Volume,NI,YP,YB,XL,CC,KK,PD,XC,SQ,AZ,EP,OD,BK,GR,RO,AO
2026-08-24,610.0,610.0,595.0,610.0,10200,-0.0017,0.0002,0.0,-0.0026,0.0005,0.0,0.0017,0.0027,0.0,-0.0003,0.0,0.0001,0.0,0.0,0.0,-0.0006
2026-08-26,605.0,615.0,595.0,615.0,19000,-0.0011,0.0,0.0,-0.0053,-0.001,-0.0001,0.0012,0.0005,0.0007,-0.0002,0.0002,-0.0001,-0.0001,0.0054,-0.0002,0.0
2026-08-27,615.0,620.0,595.0,600.0,35700,-0.0029,0.0,0.0,0.0095,-0.0046,0.0,0.0012,-0.0034,0.0,0.0001,0.0001,0.0002,-0.0002,0.0,0.0,0.0
2026-08-28,615.0,615.0,600.0,605.0,18000,-0.0013,0.0001,0.001,0.001,-0.0026,0.0003,0.0001,0.0009,0.0006,0.0,0.0,0.0,0.0,0.0,0.0,0.0
