Date,Close,High,Low,Open,Volume,BQ,CC,NI,DR,KK,XC,ID,DU,PC,PI,IH,AZ,PD,YJ,DH,XA,SH,IU,RO,SA,YP,XL,CP,IN,RG,BR,OD,SQ,MI,PG,AK,EP,ZR,YU,MG,HD,AT,DX,ZP,EL,YB,GR,SF,TP,BK,LG,AO,KI,MU,GI
2026-08-24,104.0,108.0,103.0,105.0,17160000,-0.0053,0.0552,-0.0067,0.0,-0.0018,-0.0006,-0.0347,-0.0535,-0.0153,0.0212,0.0007,-0.0094,-0.0021,0.0321,0.001,-0.0821,-0.0013,0.0004,0.0191,0.0748,-0.0076,0.0011,0.0308,0.0242,-0.0015,-0.0368,0.006,-0.0169,0.0336,0.0148,0.0,0.0179,-0.0141,0.0,0.0076,-0.039,0.0,0.0,-0.025,0.0151,-0.0003,0.0032,-0.0182,0.0,0.0039,0.0,0.0069,0.0002,0.0026,-0.0
2026-08-26,101.0,108.0,100.0,105.0,20707100,-0.0106,0.0478,0.031,-0.0133,0.0053,0.0158,0.0107,-0.0097,0.0056,0.0056,0.0544,0.0165,-0.0198,-0.0036,-0.0014,0.0498,0.0358,0.0,-0.0145,0.0187,-0.0299,-0.0759,0.0122,-0.0454,0.0063,0.0012,-0.0005,0.0121,-0.0212,-0.0127,0.0,-0.1837,0.0603,0.0138,0.0321,-0.0416,0.0,0.0,0.0212,0.0871,0.0098,0.0,0.018,-0.0001,0.0029,-0.0249,-0.0189,-0.0462,0.0,0.0
2026-08-27,105.0,106.0,100.0,101.0,14147600,0.0146,0.1021,0.0034,-0.0115,-0.0284,-0.0021,-0.0208,-0.0595,-0.0326,-0.0105,-0.0325,-0.0016,0.0127,-0.0307,-0.0006,0.0263,0.0021,0.0,-0.0001,0.0997,-0.0049,0.0463,-0.0297,0.0038,0.0,-0.0028,-0.0008,0.0113,0.026,0.0094,0.0,-0.0228,-0.0112,-0.0119,-0.0096,0.0207,0.0062,-0.0,0.0013,-0.119,-0.0088,0.0002,0.0009,0.0003,0.065,0.0,0.0,0.0,0.0,0.0
2026-08-28,104.0,107.0,103.0,105.0,11302300,-0.0148,0.0288,0.0039,0.0005,0.0014,0.0263,0.0292,0.0635,0.0427,0.0189,0.0395,-0.3939,-0.0193,0.0192,0.0104,0.0488,0.0292,0.02,0.0179,-0.0206,-0.0137,-0.0457,-0.0205,0.0235,0.0105,0.0202,-0.0001,-0.0163,0.021,0.0139,0.0015,0.0422,0.0119,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
