Date,Close,High,Low,Open,Volume,AK,YB,AT,XL,KK,LG,DH,IF,NI,QA,XA,YP,AZ,SQ,CP,CC,BQ,PD,GR,OD,XC,TP,MG,FS,DR,HP,AO,YU,KI,TF,EP,AG,RO,GI
2026-08-24,168.0,171.0,167.0,168.0,1326800,0.0132,0.0003,0.0,0.0887,-0.0,0.0,0.0,-0.0985,0.0,0.0,0.01,-0.011,0.0067,0.0,0.0048,-0.0243,0.001,0.0014,0.0021,-0.0004,0.0075,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0015,0.0,-0.0001,0.0
2026-08-26,165.0,169.0,165.0,165.0,1622500,0.0035,0.0,0.0,-0.0558,0.0056,0.0,0.0,0.0067,-0.0008,0.0,0.0062,0.0222,0.0099,0.0,-0.0117,0.019,-0.0001,-0.0066,0.0025,0.0,-0.0007,0.0001,-0.0,0.0,-0.0003,0.0,0.0,0.0,0.0005,0.0,0.0,0.0,-0.0001,-0.0
2026-08-27,171.0,185.0,156.0,156.0,13451200,0.0169,0.0003,0.0,-0.4251,0.0034,0.0,0.0012,-0.0284,0.0081,0.0,-0.0531,-0.0577,-0.1772,0.0168,0.9253,-0.0531,0.0082,-0.0312,-0.0047,-0.0267,-0.0713,-0.0089,-0.0089,0.0001,0.0004,-0.0,-0.0081,-0.0033,-0.0001,-0.0,-0.0242,0.0014,-0.0001,0.0
2026-08-28,172.0,178.0,171.0,177.0,1482400,-0.0156,0.0017,0.0017,-0.0159,-0.0011,-0.0013,-0.0,-0.0002,0.0006,-0.0,-0.0055,-0.0324,-0.0004,-0.0062,0.0018,0.0579,-0.0014,0.0179,-0.0013,-0.0029,0.0027,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
