Date,Close,High,Low,Open,Volume,AG,HP,QA,EP,SQ,GR,YP,AI,YU,CP,KK,XL,BQ,XC,PD,NI,CC,IF,MG,AZ,OD,AT,XA,DH,RO,FS,KI,MU,YB,DR,ES,FZ,ZP,LS,IU,DU,TP,DX
2026-08-24,146.0,157.0,145.0,145.0,5129000,-0.0047,0.0,0.0001,0.0034,-0.0236,0.0942,0.0081,0.0,-0.0054,-0.0006,-0.0041,0.0005,-0.0136,-0.0138,-0.0503,-0.0021,0.0147,-0.0021,0.0,0.0012,-0.0413,-0.0016,0.0,0.0,0.0,0.0435,0.001,0.0,0.0,-0.0008,0.0,0.0001,-0.0015,0.0008,-0.0001,0.0,0.0,-0.0022
2026-08-26,142.0,150.0,140.0,149.0,2802600,-0.032,0.0029,0.0,-0.0,-0.0414,-0.0083,-0.0075,0.0,0.0,0.0007,0.0151,0.0954,-0.0039,0.0029,0.0076,0.005,-0.0074,-0.0028,0.0022,0.0075,0.0069,0.0169,0.0,0.0,0.0005,-0.0424,-0.0,0.0002,-0.0039,-0.0142,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-08-27,143.0,147.0,138.0,142.0,1350200,0.0,0.0,0.0193,0.0,0.0361,0.0018,0.0075,0.0,0.0,-0.053,-0.0043,-0.0092,-0.0003,-0.0008,-0.0017,0.0,-0.0002,0.0,0.0011,0.0014,-0.0182,0.0138,0.0143,-0.0076,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-08-28,143.0,147.0,142.0,144.0,1205300,-0.0071,-0.0029,0.0308,0.0008,0.0142,-0.054,0.0099,0.0001,-0.0092,-0.0071,0.0045,0.0038,0.005,0.0009,0.0001,0.0014,0.0048,-0.0001,0.004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
