Date,Close,High,Low,Open,Volume,YB,XL,HD,LS,KK,SH,DH,YU,FZ,QA,DU,XA,YP,PC,AR,CC,BQ,PD,GR,OD,XC,AK,BR,MG,AT,IC,HP,AO,IH,LG,NI,AZ,SQ,CP,EP,AG,BK,RO,ZP,YJ,DR,IF,TP,AI,KI,TF
2026-08-24,765.0,775.0,740.0,750.0,36836900,0.1167,-0.1163,1.1,1.7,-0.0214,1.1,-0.0011,0.0016,0.0,0.0,-0.7516,-1.2,0.0439,1.8,0.0,-0.5002,0.0093,-0.3218,-0.0012,0.0015,-0.0135,1.2,-1.3,-0.0023,0.1746,0.1058,0.157,0.6211,-1.7,-0.0001,-0.0109,0.0052,0.0065,-1.5,0.3122,-0.391,0.2183,-0.0557,-0.8601,0.0,0.014,0.0,-0.0023,0.0,-0.0,0.0038
2026-08-26,755.0,760.0,740.0,760.0,22352700,0.0287,-0.1448,0.0015,0.0,-0.0009,-0.8504,0.0,-0.0016,0.0,-0.0001,-0.0014,1.4,-0.3233,1.0,0.0,-0.1584,-0.0119,-0.026,-0.0019,-0.027,-0.0117,-1.6,-0.6485,-0.1823,0.2664,0.54,0.136,0.5207,-0.2721,0.0004,0.0155,0.0212,-0.0081,-0.0969,-0.0063,-2.4,-0.0814,0.0,0.3159,0.0,-0.015,3.0,-0.0001,-0.3623,0.0,0.0
2026-08-27,780.0,780.0,745.0,750.0,25682500,-0.0108,-0.0067,0.0022,0.0001,-0.012,0.1284,0.0001,-0.0054,0.0,0.0,-1.1,0.6658,-0.1697,-1.5,0.0,0.1172,-0.0236,0.0798,-0.023,-0.071,-0.0927,-0.0041,0.3627,0.0,-0.151,-0.3574,0.1524,-1.5,0.2462,-1.1,-0.0969,0.0141,-0.003,0.8712,0.1075,0.6028,0.6303,0.0,0.6592,-0.003,-0.1108,1.8,0.0,0.0,0.0,0.0
2026-08-28,755.0,785.0,740.0,775.0,30119000,-0.0193,-0.0208,0.1493,-1.8,0.0316,-0.3005,0.0001,0.8335,0.152,0.0001,-0.5511,1.6,-0.0112,1.4,0.228,-2.7,-0.0001,-0.0164,-0.0764,0.027,0.055,-4.6,-0.29,0.9848,0.1925,-1.0,0.2775,1.4,0.5391,-0.0022,0.0062,0.1727,0.0007,0.8072,0.342,2.1,-0.038,0.0106,0.0003,0.0,0.0,0.0,0.0,0.0,0.0,0.0
