Date,Close,High,Low,Open,Volume,KZ,XC,PD,CC,NI,DR,XL,OD,YP,CP,SQ,ZP,IF
2026-08-24,1080.0,1100.0,1065.0,1100.0,22300,-0.0013,0.0003,0.0,0.001,0.0,0.0011,0.0004,0.0,0.0,0.0154,-0.0001,-0.0165,-0.0003
2026-08-26,1060.0,1170.0,1000.0,1170.0,47100,-0.0012,0.0008,0.001,0.0043,0.001,0.001,0.0005,0.0,0.0034,-0.0117,0.001,0.0,0.0
2026-08-27,1040.0,1060.0,1005.0,1060.0,20800,-0.0009,0.0012,0.0,0.0003,0.0154,0.001,-0.0167,-0.0003,0.0,0.0,0.0,0.0,0.0
2026-08-28,1040.0,1040.0,1040.0,1040.0,3400,-0.0002,0.0001,0.0001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
