Date,Close,High,Low,Open,Volume,AK,MG,XL,PD,KK,YJ,DR,LG,DH,QA,NI,YP,AZ,CP,CC,EP,BQ,XC,GR,OD,RO,SQ,TP,YB,AT,YU,FZ,XA,AG,KI,ZP,DX,CD,JB,HP
2026-08-24,70.0,73.0,70.0,71.0,11465000,-0.0029,-0.0337,0.1524,0.0977,-0.0256,0.0,0.0006,0.0002,0.0,-0.0004,-0.0165,-0.0337,-0.0029,-0.0002,-0.0703,0.0027,-0.0031,0.0016,-0.0014,-0.0384,0.0016,0.001,0.0,700.0,0.0028,-0.0216,0.0002,-0.0,0.0,-0.0,0.0036,0.0007,0.0,-0.0002,-0.0142
2026-08-26,65.0,70.0,65.0,70.0,12686400,0.0004,-0.0107,-0.2042,-0.0057,0.0058,0.0,-0.0005,-0.0,0.0,-0.0042,0.0393,-0.0199,0.0163,-0.0002,0.1278,0.0,0.0013,0.0613,-0.0078,0.0129,0.0,0.0003,0.0001,0.001,0.0016,0.0,0.0,0.0,0.0,-0.0134,-0.0035,0.0021,-0.0,0.0,0.0
2026-08-27,68.0,69.0,65.0,65.0,5156900,0.0082,-0.0001,-0.0119,0.0046,0.0076,0.0003,-0.0,0.0003,0.0,-0.0008,-0.0309,-0.0365,-0.0038,0.0172,0.0365,0.0,0.0008,0.015,-0.0013,0.0083,-0.0019,-0.0027,-0.0003,-0.0021,0.0001,-0.0065,-0.0,-0.0001,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-08-28,67.0,69.0,66.0,69.0,3168500,-0.0087,-0.0001,0.0186,-0.0251,0.0015,-0.0,-0.006,0.0003,0.0001,0.0001,0.004,0.0105,-0.0036,0.0,0.0289,-0.0003,-0.0496,0.0177,0.0,0.0054,0.003,0.0034,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
