Date,Close,High,Low,Open,Volume,XC,YP,XL,NI,OD,KK,CC,GR,DH,PI,DR
2026-08-24,3490.0,3540.0,3490.0,3540.0,2100,0.0004,-0.0007,0.0066,0.0,-0.0056,0.0,0.0,0.0,0.0,-0.0011,0.0003
2026-08-26,3490.0,3490.0,3490.0,3490.0,800,0.0,0.0,0.0007,0.0,0.0,0.0,-0.0003,-0.0007,0.0003,0.0,0.0
2026-08-27,3470.0,3480.0,3470.0,3480.0,2800,0.0,0.0,0.0021,0.0,-0.0087,0.0069,-0.0003,0.0,0.0,0.0,0.0
2026-08-28,3470.0,3470.0,3470.0,3470.0,1800,0.0052,0.001,-0.0007,-0.0003,-0.0052,0.0,0.0,0.0,0.0,0.0,0.0
