Date,Close,High,Low,Open,Volume,NI,KI,YB,SQ,XL,YP,AF,CC,KK,PD,GR,OD,XC,DH,TP,HD,EP,AT,BK,LG
2026-08-24,3250.0,3250.0,3220.0,3220.0,22300,0.0003,0.0,0.0,-0.0062,0.0337,-0.0016,0.0,-0.013,0.011,-0.0029,0.0,-0.0103,-0.011,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-08-26,3230.0,3250.0,3230.0,3250.0,42500,0.0097,0.0,0.0,0.0078,-0.0055,0.0013,0.0,-0.0424,0.034,0.0207,0.0,-0.0042,-0.0029,-0.001,0.0,-0.0155,0.0,-0.0003,-0.0013,-0.0003
2026-08-27,3230.0,3250.0,3210.0,3230.0,49700,0.0003,0.0003,0.0,0.0003,0.0354,0.0003,0.0,-0.0804,-0.0347,0.0029,-0.0013,0.0006,0.0065,-0.0003,0.034,0.0049,0.0311,0.0,0.0,0.0
2026-08-28,3260.0,3260.0,3210.0,3230.0,34600,0.0003,0.0016,-0.0032,0.0074,0.0405,-0.0352,-0.0049,-0.0162,-0.0126,-0.0045,0.0287,-0.0023,0.0003,0.0,0.0,0.0,0.0,0.0,0.0,0.0
