Date,Close,High,Low,Open,Volume,YU,CD,AG,MG,CC,HD,NI,DR,AR,XC,AZ,FZ,PC,PD,YJ,DH,XA,SH,RO,SA,DX,YP,AT,IN,OD,BR,AD,MI,ZP,AK,ZR,YB,LG,KK,LS,GR,KZ,IF,AH,AO,XL,CP,HP,AI,SQ,KI,ES,BQ,BK,EP,DU,PG,PO,QA,IH,RF,FS,SF,TP,IU,SS,GA,MU
2026-08-24,206.0,222.0,202.0,204.0,1328923700,-0.7417,2.3,-7.0,-0.2314,-1.0,0.2001,-4.1,2.5,0.0,2.0,0.5107,0.6609,0.0,-0.8588,-0.1812,0.1351,-0.4206,-0.1295,0.3496,-0.308,-0.6803,-0.0296,-0.1187,0.0463,9.5,0.8656,0.0,0.0,4.1,-9.1,0.0,0.8704,0.3045,-0.8762,0.4853,0.9806,0.0,-0.328,0.0,-1.5,1.7,-1.4,0.1557,-0.363,0.9769,0.324,0.0,0.5196,-0.1975,-0.0221,0.0,-0.1098,0.0,-0.0248,0.0087,0.0714,-0.0215,0.0,0.0155,0.1645,0.0,0.0,-0.0069
2026-08-26,183.0,212.0,183.0,210.0,906076200,0.614,1.9,0.1801,4.5,2.1,0.2822,0.0,1.1,0.0,-1.7,0.2149,0.0,0.0,-3.1,-0.1104,0.1998,-0.2955,-0.1282,0.388,0.3881,0.0,0.2503,0.1375,-0.0638,5.7,0.0,0.0,0.0,-12.6,1.6,0.0,0.7776,2.7,0.2066,-0.3562,-3.8,0.0,-0.1538,0.0,-1.1,-0.2475,1.3,1.2,0.0956,-1.7,0.1784,0.0,-0.0231,0.4511,-0.1644,0.1049,-0.2192,0.0,-0.0001,-0.008,-0.049,-0.6508,-0.0003,-0.4168,-0.0225,-0.002,0.0995,0.0
2026-08-27,218.0,220.0,181.0,182.0,2164497500,-0.352,-4.3,0.0,12.9,-1.4,1.8,-8.2,0.0,-0.3012,-3.5,5.2,-1.4,0.0,-1.3,0.0185,-0.3026,-0.7304,0.0,-1.1,-1.9,0.2769,-3.9,0.2273,0.0079,-6.5,0.0,0.021,0.0,8.5,4.5,0.0,0.0,0.0,-1.2,0.0,-0.6461,0.0236,0.0,0.0,1.5,-8.6,20.3,-1.4,-0.6459,-3.3,-0.5348,0.0,-0.5755,0.2046,-0.3979,-0.3,-0.5249,0.0032,0.0002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-08-28,210.0,228.0,206.0,218.0,1446477600,-6.8,3.5,0.1534,-14.3,12.2,-0.7386,-0.3962,-0.3198,0.042,7.7,-4.9,0.9001,0.0481,-2.7,1.2,0.3636,-1.8,0.1885,-1.7,-1.9,0.0778,-0.4827,-0.0812,-0.0292,11.1,0.1135,0.0444,-0.0111,-5.0,-8.3,0.0208,-1.6,0.3081,0.0681,0.0491,-2.3,-0.8365,-0.0164,0.0226,-1.1,14.5,1.1,-0.2396,-0.088,2.5,-1.1,0.02,0.8544,-0.6656,0.3194,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
