Date,Close,High,Low,Open,Volume,AZ,PC,AG,QA,EP,HD,SQ,YP,IU,LG,OD,CP,KK,XL,XA,YB,DX,BQ,XC,PD,NI,CC,DR,MG,RO,HP,AO,GR,BR,SH,TP,YJ,FS,AT,DH,IF
2026-08-24,148.0,150.0,141.0,150.0,4915400,-0.0001,0.0324,-0.0063,0.0,-0.1123,-0.0004,0.0089,-0.007,0.0118,0.0,0.0211,-0.0843,0.0483,0.062,-0.0657,0.0133,0.0021,-0.0002,0.03,0.0238,0.0217,0.0199,0.0083,-0.0698,0.0,0.0014,0.0,0.0411,0.0,0.0,0.0,0.0,-0.0074,0.0012,0.0045,0.0015
2026-08-26,144.0,148.0,142.0,148.0,4935100,0.0029,0.0393,0.0,0.0,0.0022,-300.0,-0.0044,-0.0731,0.0,0.0,0.019,0.2266,0.013,-0.215,0.0,0.0019,0.0,0.0029,-0.0026,-0.0019,0.0008,0.0188,0.0048,-0.0215,0.0,0.0,0.0,-0.0043,0.0,0.0,-0.0025,-0.0071,0.0,0.0,0.0,0.0
2026-08-27,144.0,145.0,139.0,141.0,5622100,-0.0029,0.028,0.1441,0.0,-0.0577,0.0001,0.0001,-0.0014,0.0004,0.0,0.0253,-0.0029,0.0203,-0.0553,0.0,-0.008,0.0,0.002,-0.0021,0.0127,0.0032,0.0092,0.0042,-0.2306,0.0,0.0,-0.0538,0.007,0.072,0.072,0.014,-0.0,0.0,0.0,0.0,0.0
2026-08-28,142.0,144.0,137.0,144.0,4878300,-0.0689,0.0289,-0.0,0.0003,0.0879,0.143,0.0296,0.0115,-0.0004,-0.0001,0.0091,0.098,-0.0004,0.0305,-0.3451,0.0021,0.0006,-0.0,0.0115,0.0024,-0.0085,0.0034,0.0023,-0.0377,0.0002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
