Date,Close,High,Low,Open,Volume,NI,DU,YP,MG,XL,CC,BQ,PD,OD,XC
2026-08-24,169.0,169.0,169.0,169.0,0,,,,,,,,,,
2026-08-25,169.0,169.0,169.0,169.0,0,,,,,,,,,,
2026-08-26,169.0,169.0,169.0,169.0,0,,,,,,,,,,
2026-08-27,169.0,169.0,169.0,169.0,0,,,,,,,,,,
2026-08-28,153.0,153.0,153.0,153.0,219500,0.0008,-0.002,0.0005,0.0202,0.0106,0.0001,0.0,-0.022,0.0,-0.0082
