Date,Close,High,Low,Open,Volume,LG,PD,CP,XC,SQ,CC,YP,EP,DH,TP,CD,XL,YB,AT,YO,RF,NI,QA,PP
2026-08-24,20025.0,20175.0,19575.0,20125.0,87700,0.6157,0.0019,-0.0007,0.02,0.0118,-0.002,0.0209,0.0,-1.5,0.0,0.0,-0.0021,0.0,0.0,0.453,0.0,0.0,0.0,0.3446
2026-08-26,20000.0,20000.0,19825.0,19850.0,7200,0.1431,0.0,0.0,0.0,-0.0159,0.0,-0.006,0.0,-0.1192,0.0,0.0,-0.002,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-08-27,20050.0,20175.0,18000.0,19975.0,82000,1.1,-0.002,-0.0003,0.0044,-0.0006,-0.034,-0.0191,0.0,-0.5946,0.0018,0.0,-0.0077,0.0,-0.0002,0.1515,-0.5816,-0.0037,-0.0002,0.0
2026-08-28,20075.0,20125.0,19625.0,20050.0,109500,2.1,-0.002,-0.001,-0.006,-0.012,-0.002,-0.0003,0.002,-2.0,-0.002,-0.0001,-0.0259,-0.002,0.0,0.0,0.0,0.0,0.0,0.0
