Date,Close,High,Low,Open,Volume,TP,YB,XL,HD,KK,DH,YU,XA,KI,BB,YP,CC,BQ,PD,GR,OD,IN,EL,XC,AK,AT,MG,YJ,FS,DR,PG,HP,LG,NI,AZ,SQ,CP,EP,AG,CD,BK,RO,ZP,IF,RF,BS,KZ,QA,AI,BR,AO,SH,FZ
2026-08-24,860.0,885.0,850.0,885.0,33048800,0.0536,-0.0352,1.3,-0.0121,0.0789,0.0,9.8,0.5371,1.3,-1.2,0.4523,-2.4,0.0,0.1433,0.1293,0.0,0.0,0.256,0.133,0.9087,0.0,-0.0035,-0.0013,0.0,0.1134,0.1747,-0.0059,0.5828,0.0714,-5.2,0.871,0.4965,0.1866,-0.0177,0.0,0.2136,0.0749,1.6,-3.7,-7.8,0.0,0.0,-0.0006,0.4296,0.0,0.0,0.1428,0.1745
2026-08-26,880.0,885.0,835.0,850.0,25067200,-0.107,-0.0313,-1.8,0.0678,-0.1504,-0.0074,0.673,-0.0908,-0.063,1.1,-0.4272,-0.3169,0.0398,1.6,1.3,0.0186,0.0,0.0,0.0058,1.6,-0.0079,-0.0126,0.004,0.0,-0.2289,0.0,-0.001,-0.3887,-0.066,-3.4,-0.0758,0.8605,-0.1259,0.0704,0.0,0.9865,0.0375,-1.0,0.0,-1.1,-0.0022,0.966,-0.0018,0.0419,0.0438,-0.0101,0.0,0.0
2026-08-27,880.0,895.0,870.0,880.0,19257300,0.0,-0.0215,0.3203,0.0863,-0.0371,-0.0029,0.44,0.0004,0.0004,4.4,0.0774,3.2,-0.001,0.0477,-0.6294,-0.0137,0.0,0.0,0.0576,2.3,0.0,0.0044,0.0,0.0,-0.0008,0.0,-0.0014,-0.2134,-0.0373,-0.0637,-0.0803,-0.0502,0.002,-0.0974,0.0,0.7854,-0.1211,-1.5,0.0001,-8.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-08-28,920.0,925.0,880.0,885.0,18500900,0.115,0.3562,-1.6,-0.1543,-0.1932,-0.6636,-0.1365,-0.0118,0.4595,3.9,-0.4316,-0.662,-0.2275,-0.7932,-0.1466,0.0067,0.091,0.0905,-0.545,-0.6612,0.643,-0.0519,-0.0884,-0.0362,2.8,-0.2735,0.0563,-0.171,0.4368,-0.1899,-1.2,-0.3256,-0.2762,-0.2646,0.0634,-0.1142,-0.0282,0.2687,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
