Date,Close,High,Low,Open,Volume,NI,TP,XA,YP,SQ,XL,CC,BQ,PD,GR,XC,AT,LS,KK,DR,LG,DH,YU,AZ,CP,CD,OD,YB,MG,HD,HP,AO,QA,KI,EP,ZP
2026-08-24,98.0,103.0,96.0,97.0,707000,0.0006,0.0,0.0005,0.0073,-0.0147,-0.012,0.0012,-0.0032,-100.0,0.0,0.0143,0.0,0.0,0.0014,0.0,0.0,0.0,0.0,0.0,0.0018,0.0005,0.002,0.0,0.0003,0.0,0.0,0.0,-0.0,0.0,0.0,0.0
2026-08-26,102.0,107.0,97.0,98.0,6081600,-0.0058,0.0013,0.0014,-0.0046,-0.0105,-0.0614,0.0008,0.0407,0.0131,0.002,-0.009,-0.0001,0.0132,-0.0005,-0.0122,0.0064,0.0002,0.017,0.0094,-0.0007,-0.0002,-0.0021,0.001,0.0,-0.0,0.004,0.001,-0.0,-0.0065,0.0011,0.001
2026-08-27,101.0,104.0,100.0,102.0,1011900,0.0,0.0,0.0012,-0.0078,-0.0021,-0.0219,0.0046,0.0016,-0.0,0.0247,0.0027,0.0026,-0.0131,-0.0003,0.009,-0.0051,-0.0001,0.0051,-0.0002,0.0,0.0001,-0.001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-08-28,102.0,102.0,100.0,101.0,191400,0.0,-0.0001,0.0067,0.0019,-0.0079,0.0022,-0.0001,-0.0021,-0.0016,0.0024,-0.0014,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
