Date,Close,High,Low,Open,Volume,YU,MG,YB,CC,NI,DR,KK,XC,GR,AZ,PD,TP,DH,XA,YP,DX,XL,CP,OD,SQ,BQ,ZP,EP,IF,AT,BR,BK,FS,TS,QA,AK,LG,YJ,RF
2026-08-24,2840.0,2850.0,2820.0,2830.0,1529400,0.0,0.0085,0.0093,-0.3962,0.0317,-0.0062,0.0006,-0.0516,-0.05,-0.4586,-0.0393,0.0,0.1449,0.1415,0.8057,0.0,-0.1943,-0.1255,-0.1062,0.0,-0.0014,-1.4,-0.2261,0.0,0.0,0.0,0.3552,0.0,0.0,0.0,0.086,0.004,-0.0354,1.5
2026-08-26,2820.0,2840.0,2820.0,2840.0,2375200,0.0,1.0,1.9,0.0397,0.0542,0.0127,-0.0229,-0.0825,0.0122,0.5505,-0.6589,0.0,0.0085,-0.0282,-0.1049,0.0,-0.1528,0.1427,0.8238,0.0,0.3092,-1.6,-0.0079,0.0,0.1993,0.0,0.0,-0.0705,-2.8,-0.0003,0.4633,0.0,0.0,0.0
2026-08-27,2820.0,2830.0,2820.0,2820.0,886200,0.0,-0.0226,0.0592,-0.0821,0.0303,-0.0432,0.0014,0.9759,0.0,0.2128,0.0241,0.0,0.0028,0.0283,-0.1418,0.0,-0.0526,0.2241,0.5321,-0.073,0.0,-1.5,0.0,0.0283,-0.1982,-0.0085,0.0093,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-08-28,2830.0,2830.0,2820.0,2830.0,823200,0.5006,0.2088,0.5056,-0.239,0.0028,-0.3407,0.0826,0.0187,0.0057,-0.3268,-0.2662,-0.1847,0.0023,-0.0539,0.0181,0.015,0.348,-0.0112,-0.0107,0.0003,0.0283,-0.2878,-0.0158,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
