Date,Close,High,Low,Open,Volume,AG,CC,NI,LG,KK,XC,AZ,PC,PD,YJ,DH,RO,YP,XL,CP,OD,SQ,KI,BQ,RG,MG,DR,IF,XA,QA,HP,AI,EP,YB,AT
2026-08-24,530.0,535.0,525.0,535.0,114100,-0.0001,-0.0003,-0.0035,0.0,-0.0002,0.0002,0.0001,0.0,0.0272,0.0,-0.0014,0.0003,0.0006,-0.0304,0.0002,0.0,0.0101,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0027
2026-08-26,540.0,540.0,530.0,530.0,205200,-0.0003,0.0381,0.0034,0.0008,0.0004,0.0002,0.0,0.0,0.0218,0.0,0.0099,0.0001,-0.0178,-0.0568,0.0,0.0,0.0001,0.0,0.0,0.0,0.0,0.0,0.0001,0.0,0.0,0.0,0.0,0.0,0.0001,0.0
2026-08-27,520.0,540.0,500.0,540.0,1035400,0.0004,0.0772,0.0228,0.0,-0.0012,0.0031,0.0011,0.0,0.0097,0.0,-0.0108,0.0002,-0.3296,0.1936,0.0051,0.0004,0.0179,0.0,0.0,0.0,-0.0005,0.005,0.0097,0.0001,0.001,-0.0053,-0.0001,-0.0,0.0,0.0
2026-08-28,510.0,530.0,500.0,520.0,1057400,0.0004,0.0544,0.0046,0.0003,0.0049,0.0528,0.0011,-0.0,0.0789,0.0001,0.0001,0.0004,-0.3758,0.1414,-0.0017,0.0166,0.0014,0.0001,-0.0,0.0202,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
