Date,Close,High,Low,Open,Volume,DH,AK,NI,XA,YP,XL,CP,CC,KK,DR,PD,GR,OD,XC,YB,MG,MU,BQ,SQ,QA,AZ,AT,EP,RO
2026-08-24,177.0,179.0,176.0,178.0,378100,0.0,-0.0003,0.0107,0.0,-0.0036,-0.024,-0.0002,-0.0014,0.0177,0.0,-0.0018,0.0023,0.0,-0.0032,0.0,0.0041,0.0,0.0,0.0,0.0,-0.0001,-0.0002,-0.0001,0.0
2026-08-26,174.0,179.0,174.0,179.0,668300,0.0123,-0.0019,-0.0008,0.0,0.0005,-0.0579,0.0,-0.0075,0.0201,0.0,0.0164,-0.0054,0.0,0.0055,-0.0009,0.0,0.0,0.0161,0.0035,0.0,0.0,0.0,0.0,0.0
2026-08-27,176.0,179.0,172.0,174.0,440500,-0.0001,-0.0004,0.0009,0.0019,0.0015,-0.015,0.0076,-0.0004,0.0131,0.0,-0.0006,0.0031,0.0,-0.0042,-0.0087,-0.0042,-0.0,0.0052,0.0002,0.0,0.0,0.0,0.0,0.0
2026-08-28,176.0,178.0,173.0,175.0,269500,0.0,-0.0002,-0.0002,-0.0002,0.0045,-0.0012,0.0006,0.0005,-0.0001,-0.0009,-0.002,0.0027,-0.0014,-0.0022,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
