Date,Close,High,Low,Open,Volume,TP,YB,XL,HD,LS,KZ,KK,DH,YU,QA,IF,XA,KI,YP,MU,CC,DX,BQ,PD,GR,OD,XC,AK,AT,FS,YJ,PG,IT,DP,LG,NI,AZ,SQ,CP,EP,AG,BK,RX,ZP,BS,AI,BB,MG,DR,RO,PC,CD
2026-08-24,620.0,630.0,615.0,625.0,6448700,0.0,0.0112,0.0294,-0.0001,0.0,0.0,0.0618,0.0621,0.2203,-0.0065,0.0061,0.0091,0.31,0.0451,0.0,-0.5269,0.8461,-0.0002,0.0994,0.0265,-0.024,0.0733,0.2047,-0.0286,0.0,0.0026,0.124,0.0,0.0,0.0008,-0.2984,0.1424,0.0517,-0.0166,-0.0132,0.0002,-0.4797,0.0,-0.6938,0.0,0.0574,-0.2039,0.0,-0.064,-0.0261,0.0,-0.0021
2026-08-26,605.0,625.0,605.0,620.0,15112400,-0.1217,0.1054,-0.2936,0.0126,0.0034,2.0,-0.0197,0.0012,0.5441,0.001,-0.0249,0.0061,0.0055,0.2366,0.0,0.3395,0.0016,0.0335,0.0793,0.7967,0.0516,-0.0202,-1.2,0.0005,0.0012,0.0008,0.0,0.0,0.0,0.0137,-0.0066,0.0713,0.0363,-0.0395,0.103,-0.0006,-2.0,0.0,0.0207,0.0,-0.003,-0.5599,0.0,-0.1363,-0.0382,0.0092,-0.0048
2026-08-27,620.0,625.0,605.0,610.0,9714900,-0.2186,-0.1444,-0.1501,-0.022,0.0,0.0,-0.0028,-0.0061,0.385,0.0002,-0.0006,-0.0093,-0.0031,-0.6567,0.0,-0.8545,1.2,-0.0136,0.0668,0.01,-0.2324,0.0707,-0.8461,-0.0002,0.0,-0.0009,0.0,0.0,0.0,-0.0055,-0.5939,-0.1489,0.0107,0.0,-0.0163,0.0,0.7882,0.176,0.1336,-0.0124,-0.0031,1.1,0.0006,-0.0258,0.0001,0.0,0.0
2026-08-28,630.0,635.0,625.0,625.0,10876500,-0.0417,-0.0055,0.0538,-0.0062,-0.0032,0.065,-0.0156,0.0534,1.1,-0.0008,-0.0004,0.0249,0.0013,0.0221,-0.0001,-0.9592,-0.063,-0.0838,-0.2314,0.0649,-0.0684,-0.5973,-0.7127,-0.0013,-0.0013,-0.0008,-0.126,0.0001,1.4,0.1247,-0.2278,-0.6601,-0.1874,-0.0041,0.0056,0.0001,-0.0358,-0.0577,1.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
