Date,Close,High,Low,Open,Volume,CC,HD,NI,KK,LS,XC,AZ,PD,TP,DH,RO,YP,DX,XL,OD,SQ,KI,AK,EP,YU,LG,GR,SF,AT,CP,RG,ZP,BK,AG,YB,DR,IH,XA,HP,QA,BQ
2026-08-24,1145.0,1160.0,1140.0,1155.0,1066600,-0.0197,0.0002,0.0242,0.0121,0.0,0.0149,0.0032,0.0948,0.0268,0.0008,0.0015,-0.3093,0.0,0.1576,0.0754,-0.004,0.0031,-0.0984,0.0053,0.0,0.0023,0.0345,0.0,0.0039,0.0011,0.0023,0.0116,-0.0005,0.0,-0.0669,0.0007,0.0253,0.0017,-0.0049,0.0002,0.0001
2026-08-26,1140.0,1150.0,1135.0,1145.0,779000,0.0645,-0.0002,0.131,0.0096,0.0,0.0255,0.0,-0.1402,0.0132,-0.0072,-0.0081,-0.0546,0.0,0.138,-0.0071,0.0103,0.0009,-0.0839,0.0011,0.0,0.0011,-0.1151,0.0,0.0005,0.0,0.0011,0.0293,0.0,-0.0033,-0.0067,0.0002,0.0228,0.0344,-0.0573,0.0,0.0
2026-08-27,1150.0,1150.0,1130.0,1140.0,576400,0.0504,-500.0,-0.0004,0.001,0.0,0.0514,0.0,0.0021,0.0506,0.0021,0.0002,-0.0031,0.0,0.0399,0.0067,-0.0512,0.0003,-0.0729,0.0014,0.0009,-0.0011,-0.1706,0.0035,0.0011,0.0001,0.0011,0.0856,0.0007,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-08-28,1150.0,1155.0,1140.0,1150.0,487500,0.0092,-0.0,-0.1315,0.0149,-0.0074,0.0246,0.0031,-0.001,0.0362,0.0121,0.0006,-0.0554,0.0029,0.131,0.0071,0.0166,0.0005,-0.064,0.0005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
