Date,Close,High,Low,Open,Volume,YU,MG,CC,HD,NI,DR,XC,AZ,TF,PD,YJ,DH,XA,RO,AT,YP,OD,ZP,YB,LG,KK,GR,SF,TP,IF,XL,CP,AI,QA,KI,SQ,OK,BQ,EP,CD,RS,DU,SH,AO,DX,HP,ES
2026-08-24,141.0,145.0,141.0,143.0,5394700,0.0,-0.0215,-0.0066,0.0004,-0.0097,0.0015,0.0338,-0.0297,0.0,-0.0134,-0.0002,0.0,0.0046,0.0,0.0047,-0.0467,-0.0199,0.0029,0.0014,0.0001,0.0011,0.0001,0.0,0.089,-0.0014,0.0268,0.0002,-0.0166,0.0015,0.0,0.0077,0.0,0.0001,-0.0001,0.0,0.0,0.0,0.0,0.0,-0.0029,-0.0072,0.0
2026-08-26,138.0,152.0,138.0,141.0,23256500,0.0007,0.0004,-0.2983,-0.0006,-0.0383,-0.0035,0.041,0.0332,0.0,-0.0658,0.0,0.0001,0.0047,0.0003,-0.008,0.1057,-0.0124,-0.0755,-0.0029,0.0042,-0.006,-0.0127,0.0,0.092,0.0051,0.2795,0.0061,0.0,-0.0074,-0.0037,0.0026,0.0,0.0041,-0.038,0.0,0.0,0.0,0.001,0.0002,-0.0035,-0.0043,0.0
2026-08-27,144.0,144.0,136.0,138.0,5041400,0.0,0.0003,-0.0183,-0.0,-0.0002,0.0004,-0.013,0.0004,0.0,0.015,-0.0,0.002,0.0,-0.0,0.0041,-0.0883,0.0006,-0.0019,0.0025,0.0,-0.0105,0.0138,0.0,0.0508,0.0,-0.0248,0.0179,0.0,0.0052,0.0002,0.0001,0.0,0.0454,-0.0004,0.0,-0.0014,0.0,0.0,0.0,0.0,0.0,0.0
2026-08-28,147.0,149.0,143.0,144.0,11870300,0.0004,0.0049,0.183,0.0002,-0.0105,-0.0031,-0.0732,0.0186,0.0017,-0.0146,-0.0,-0.0074,-0.0269,-0.0002,0.003,-0.0533,-0.056,0.0015,-0.0026,-0.0024,-0.0163,0.003,-0.0,-0.0088,-0.0005,-0.1541,-0.0127,0.0007,-0.0134,0.3926,0.0217,-0.1445,-0.041,0.0104,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
