Date,Close,High,Low,Open,Volume,YU,PD,CC,ZP,YP,SQ,DR,XC,XL,KK,XA,OD,EP
2026-08-24,2700.0,2700.0,2690.0,2690.0,1000,0.0,-0.0008,-0.0011,0.0,-0.0003,0.0,0.0,0.0016,0.0003,0.0,0.0003,0.0005,-0.0005
2026-08-26,2660.0,2700.0,2660.0,2700.0,1900,0.0,-0.0003,0.0,0.0,0.0008,0.0,-0.0005,0.0024,-0.0024,0.0,0.0,0.0,0.0
2026-08-27,2650.0,2660.0,2650.0,2660.0,14700,0.0,0.0,0.0366,0.0,0.0,-0.0287,0.0,0.0019,-0.0103,0.0005,0.0,0.0,0.0
2026-08-28,2690.0,2690.0,2610.0,2650.0,52900,-0.0269,-0.0776,0.0238,-0.0,0.0726,-0.0265,-0.0019,0.0053,0.0312,0.0,0.0,0.0,0.0
