Date,Close,High,Low,Open,Volume,LG,PD,RO,BQ,GR,CC,KK,YP,SQ,XC,XL,ZP,OD,NI,DR,YB,AZ,ZR
2026-08-24,540.0,545.0,530.0,540.0,196100,0.0,0.0071,0.0,0.0005,0.0011,-0.0061,0.0003,0.0121,0.0,-0.0006,-0.0124,0.0,0.0001,0.0007,0.0,0.0,0.0,-0.0027
2026-08-26,535.0,545.0,535.0,545.0,158500,0.0,-0.0048,0.0001,0.0,-0.0005,0.0126,0.0071,-0.001,-0.0001,0.0135,-0.0356,0.0054,0.0021,0.0011,0.0,0.0001,0.0001,0.0
2026-08-27,540.0,540.0,520.0,535.0,139000,0.0,0.0011,0.0001,-0.0052,-0.0,-0.0116,0.0012,0.0002,0.0,-0.0013,0.0119,0.0054,0.0006,0.0003,-0.005,0.0023,0.0,0.0
2026-08-28,540.0,545.0,530.0,540.0,136400,0.0005,0.0011,0.0001,-0.0015,-0.0005,-0.0046,0.0005,-0.0027,0.0001,0.0261,-0.019,0.0,0.0,0.0,0.0,0.0,0.0,0.0
