Date,Close,High,Low,Open,Volume,AK,TP,BR,YB,MG,XL,HD,LS,KK,DR,GI,HP,DH,YU,IF,NI,ZP,AZ,YP,SQ,CP,CC,EP,DX,BQ,PD,GR,OD,BK,RO,XC,YO,AT,LG,QA
2026-08-24,545.0,560.0,535.0,560.0,18988200,0.0142,-1.1,0.0523,-0.0981,0.0,0.4563,0.0,-0.222,-0.2656,0.0035,0.5136,0.0008,0.0001,0.0,0.992,0.0082,-0.0899,-0.3733,0.0873,0.0264,-0.0009,0.0098,0.0066,0.0,0.0027,0.02,0.0001,0.0102,-0.0315,0.0005,-0.0331,0.0,0.0,0.0,0.0
2026-08-26,535.0,550.0,530.0,545.0,25823200,0.0538,-1.4,-0.1619,-0.0005,0.0027,0.6017,0.0,0.2159,0.0161,0.0045,-0.5125,0.0003,0.0001,0.0054,0.7887,0.0217,-0.1317,0.4482,0.2396,-0.0008,-0.0004,-0.3475,0.0715,0.0,0.0,-0.0512,0.0027,0.0011,0.094,0.0002,0.0474,0.0,0.0004,0.0026,0.0001
2026-08-27,535.0,540.0,530.0,535.0,29649700,0.401,-0.8577,0.1109,0.0069,0.0,0.1336,0.0,-0.1941,0.0996,-0.0059,0.3288,0.0,0.0003,-0.1369,0.106,-0.0014,0.0888,-0.2062,0.227,-0.0003,0.0,0.0827,-0.0004,0.0,-0.0068,0.0281,0.0,0.0366,-0.2714,0.0003,0.0289,-0.0001,0.0018,0.0,0.0
2026-08-28,530.0,545.0,530.0,540.0,21125900,-0.0966,0.3386,-0.2796,-0.0,-0.0037,-0.0539,0.0005,-0.1273,-0.0002,0.0007,0.2155,0.0027,0.0012,-0.4866,0.205,0.0019,-0.0255,0.1389,0.0675,0.0037,0.0225,-0.0788,0.002,0.0003,0.0178,0.0141,0.0027,0.0006,0.1019,0.0015,0.0126,0.0,0.0,0.0,0.0
