Date,Close,High,Low,Open,Volume,XL,XA,EP,SQ,GR,XC,PD,YP,NI,CC,DR,OD,AZ,KI,AI,LG,TP,KK,YB,BQ,DH,IF,RO,HP,PG
2026-08-24,1565.0,1570.0,1555.0,1565.0,151100,-0.0007,0.0,0.0005,-0.0031,0.0001,-0.0394,0.0066,0.0098,0.0003,-0.0319,0.0,0.0584,-0.0005,0.0,-0.0079,0.0,0.0,0.0,0.0,0.0,0.0,0.0078,0.0,0.0,-0.0002
2026-08-26,1560.0,1570.0,1550.0,1570.0,164900,-0.0419,-0.0005,0.0,0.003,0.033,0.0012,-0.065,-0.0019,0.0022,0.1047,0.0,-0.0014,0.0,0.0,0.0,0.0,0.0,-0.0087,0.0,-0.0006,-0.0234,0.0,-0.0003,-0.0003,0.0
2026-08-27,1570.0,1575.0,1555.0,1565.0,137200,0.0147,-500.0,0.0,0.0061,0.0026,0.002,-0.0048,0.0112,-0.0359,-0.0414,0.0,0.0301,-0.0002,-0.0031,-0.0006,0.0006,0.0157,0.0017,-0.0064,0.0008,-0.0023,0.0002,0.0093,0.0,0.0
2026-08-28,1580.0,1590.0,1570.0,1570.0,214700,-0.0405,-0.0003,0.161,-0.0105,0.0004,-0.0242,-0.0021,-0.0156,-0.0315,-0.0163,-0.0191,-0.0014,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
