Date,Close,High,Low,Open,Volume,AG,HP,QA,GR,LS,BR,YP,LG,OD,IH,CP,XA,PG,PD,BK,AK,DH,NI,SF,CC,RO,FS,AZ,EP,FZ,HD,ZP,SQ,AI,YU,AT,TP,KK,XL,YB,DX,BQ,XC,MG,AR,AO,IF,DR,YO,RG,MU,CD,YJ,AD,ES,KI,SH,TF,ZR,IN,PC,GI
2026-08-24,204.0,218.0,181.0,181.0,1035372700,-0.2389,-0.014,0.0167,-0.0385,0.0027,0.0,-1.0,-0.3749,0.0243,-0.2864,-1.8,0.1222,0.032,-0.0974,0.3293,-0.6388,0.0238,-0.0295,0.0,5.5,-0.0443,0.0,-1.0,0.1007,-0.0257,-0.022,0.1281,0.2371,-0.5914,-0.0772,0.0553,-0.1785,-0.1223,-0.5489,0.0959,0.0182,0.0228,1.7,-0.4638,-0.0575,-0.5321,0.0,-0.0919,0.0,0.0,0.0,0.0045,0.0253,0.0024,0.0,-0.1441,0.0,0.0,0.0,0.007,-0.0278,0.0005
2026-08-26,179.0,214.0,179.0,210.0,419067000,0.3922,-0.2183,-0.0007,0.0056,0.2039,0.013,-0.5691,0.2374,-1.7,0.1046,-0.4227,1.2,-0.0133,0.0913,0.6687,-0.1953,0.054,0.3358,-0.0001,-2.4,-0.0016,0.0,1.2,-0.0504,0.0,0.0079,0.0324,0.3349,-0.0836,-0.0004,0.0276,-0.1401,-0.1284,0.4769,0.0933,-0.0738,-0.4196,0.1149,0.974,0.0,-0.2361,-0.0012,-0.0089,-0.021,-0.0204,0.0,0.0,-0.0032,0.0443,0.0562,0.0344,0.0184,-0.0,0.0252,-0.0109,0.0,0.0
2026-08-27,202.0,206.0,176.0,178.0,424084400,-0.4207,0.0342,-0.0311,-0.1398,-0.1061,-0.0164,-1.1,-0.02,-0.2003,-0.1034,0.3344,-0.7923,0.0,0.0559,2.4,1.0,0.1608,-0.5309,0.0,2.1,0.0124,0.0,-0.9188,-0.0398,-0.0494,0.0879,-0.1962,-0.2341,-0.2229,0.0087,-0.0349,0.0433,0.0697,-1.8,0.3161,0.0047,-0.0454,-0.6386,1.6,-0.0306,-0.3238,-0.1927,0.0487,0.0,0.0202,0.0233,0.0031,-0.0766,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-08-28,194.0,208.0,192.0,206.0,147584800,-0.0019,0.0299,0.0122,0.3376,-0.103,0.0083,-0.1042,0.4658,0.1759,-0.0,1.7,-0.1055,0.0195,-0.3096,0.0048,-2.4,-0.021,0.201,-0.0002,-2.9,0.004,-0.003,0.2887,0.0293,-0.001,-0.104,-0.0349,0.384,0.3024,-0.0136,0.0324,-0.0061,-0.2551,1.5,0.4332,0.0942,0.0152,0.218,-0.1776,-0.0002,0.1586,0.015,0.0276,0.0412,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
