Date,Close,High,Low,Open,Volume,AZ,PC,EP,ZP,HD,SQ,SA,KI,YP,IU,YU,PI,CC,DU,OD,IH,AT,TP,KK,XL,XA,YB,PG,BQ,PD,XC,DH,AK,IN,NI,SF,DR,MG,RO,AO,RG,GR,BB,CP,BK,LG,DX,IF,QA
2026-08-24,1340.0,1345.0,1325.0,1330.0,788800,0.0142,0.0128,0.0,0.0193,0.0016,0.0004,0.0484,0.0078,-0.0801,-0.0179,0.0062,-0.0529,0.0152,0.0868,0.2442,0.0078,0.0,0.0,0.0,0.0206,-0.0466,0.002,0.0642,-0.0578,-0.0078,0.0066,0.0121,0.0,0.0,0.0022,0.0064,0.0021,0.0007,-0.0572,-0.3313,0.0601,0.0005,0.0,0.0,-0.0037,0.0134,0.0,0.0,-0.0001
2026-08-26,1335.0,1350.0,1320.0,1340.0,1047300,0.0188,-0.0011,0.0,-0.0209,-0.0,-0.0013,-0.0562,-0.0067,-0.0532,0.0256,-0.0146,0.0576,-0.0227,-0.0988,0.2911,-0.0107,0.0,0.0,0.0022,0.102,0.0487,0.0,0.0565,0.014,-0.0045,0.0162,0.0,-0.0067,-0.0003,0.0096,-0.008,0.0,0.0001,0.063,-0.3114,-0.0601,0.0048,0.0,0.0,-0.0075,-0.0131,-0.0127,0.0003,0.0
2026-08-27,1350.0,1350.0,1325.0,1335.0,1179300,0.0015,0.0068,0.0,0.0119,-0.0004,-0.0071,0.0267,0.0,-0.1602,0.0065,0.0147,-0.0597,0.3884,0.0534,0.2855,0.0065,0.0003,-0.0513,0.0047,-0.0852,-0.0413,-0.0005,-0.0429,0.0316,-0.0105,-0.0293,-0.0101,-0.0267,0.0401,-0.0099,0.0073,-0.0022,0.0,-0.0616,-0.2147,0.0153,-0.0013,-0.101,0.0001,0.0148,0.0,0.0,0.0,0.0
2026-08-28,1345.0,1360.0,1325.0,1350.0,1056800,-0.1297,-0.0124,-0.0023,0.0326,0.0028,0.0786,-0.0136,0.0133,0.0647,-0.0152,0.0191,0.0116,-0.0682,-0.035,0.2373,0.0354,0.0003,-0.0001,-0.0012,-0.058,0.0201,0.0137,0.0062,-0.0259,0.0061,-0.0292,0.071,-0.2291,-0.0271,0.0018,0.0286,-0.0007,0.0005,0.0039,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
