Date,Close,High,Low,Open,Volume,SF,DR,MG,BQ,HP,GR,RO,AO,SQ,OD,MU,DH,XC,KK,AT,YU,LG,PD,AZ,AG,IN,XA,EP,LS,CC,NI,YB,AI,XL,IF,YP,HD,CP,QA,CD,DX,FZ,PI,KI
2026-08-24,63.0,63.0,62.0,63.0,2739100,0.0,0.0302,0.0,0.0063,0.0,0.0,0.0,0.0,0.0,-0.0014,0.0,0.0003,0.0012,0.0212,0.0,0.0,-0.0,-0.0056,0.0,0.0,0.0,-0.0,0.0,0.0,-0.0156,0.0016,0.0019,0.0,-0.098,0.0,0.0168,0.0,0.0409,0.0001,0.0,0.0,0.0,0.0,0.0
2026-08-26,64.0,65.0,62.0,63.0,26078600,-0.0065,-0.0182,0.0,0.0902,0.0013,-0.0033,0.014,0.0013,-0.0058,-0.0916,0.0,0.0005,0.1236,-0.0236,0.0122,0.0001,0.0102,-0.0047,-0.0188,0.0002,-0.0064,-0.0,0.0237,0.0,-0.0121,-0.0705,-0.0068,0.0,0.234,0.0004,-0.1269,-0.0004,-0.1143,0.0,0.0,0.0,-0.0001,-0.0001,-0.0013
2026-08-27,64.0,64.0,63.0,64.0,5964800,0.0,0.0063,0.0,-0.0026,0.0,0.0,0.0,0.0003,-0.0133,-0.0007,0.0,0.0001,-0.081,0.0054,0.0003,0.0,0.0,-0.0043,-0.0001,0.0,0.0,0.0,-0.0031,0.0,0.0034,0.0125,0.0007,0.0,-0.017,0.0,0.0516,0.0002,0.0414,-0.0001,0.0,0.0,0.0,0.0,0.0
2026-08-28,65.0,69.0,64.0,64.0,34183500,0.0001,0.0109,0.0121,-0.0898,0.0,-0.0017,-0.0005,0.0002,-0.0557,-0.021,0.0393,-0.0036,-0.0272,0.0788,0.0158,0.0,0.0104,-0.0205,0.008,0.0,-0.0032,0.0087,-0.0079,-0.0,-0.0269,-0.0133,-0.0002,-0.0002,0.0035,-0.0001,0.059,-0.0003,0.0195,-0.0017,0.0,0.0077,0.0,0.0,0.0
