Date,Close,High,Low,Open,Volume,AT,TP,KK,XL,RB,EP,ZP,BQ,XC,PD,YP,NI,CC,OD,MG,CP,AZ,XA,SQ,IF,DH,AI,YB,DR,RO
2026-08-24,50.0,50.0,50.0,50.0,3828700,0.0,0.0,0.0253,0.0335,0.0,0.002,0.0,0.0001,0.0471,0.0259,0.0033,0.0017,0.005,-0.0012,-0.0006,0.0225,0.0,-0.1869,0.0161,0.0,0.003,0.0,0.0025,0.0001,0.0008
2026-08-26,50.0,50.0,50.0,50.0,860100,0.0,0.0,0.0007,0.0195,0.0,0.0,0.0,0.0,0.0085,0.0001,0.0035,0.0005,0.0021,0.0001,0.005,0.0,0.0,-0.0402,0.0,0.0,0.0003,0.0,0.0,0.0,0.0
2026-08-27,50.0,50.0,50.0,50.0,1129600,0.0,0.0,0.0,0.0193,-0.0068,0.0005,0.0,0.0,0.0088,0.0012,0.0015,0.0,0.0142,0.005,0.005,-0.0259,0.0,-0.0229,0.0001,0.0,0.0,0.0,0.0,0.0,0.0
2026-08-28,50.0,50.0,50.0,50.0,757600,0.0,0.0,0.0016,-0.0003,-0.0071,0.01,0.0,0.0,0.0009,0.0005,0.0056,0.0002,0.0031,0.0,-0.0144,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
